PID,lat_long,x_merc,y_merc,Neighborhood,Sector,Color
909101060,"(42.02208247765018, -93.65692684113985)",-10425841.405218564,5164287.8662775485,Edwards,SW,purple
534152050,"(42.04331646337044, -93.63727919577093)",-10423654.239340808,5167470.250265162,NWAmes,NO,green
923252075,"(41.98752773737374, -93.60618059595959)",-10420192.359045427,5159111.3426505495,Mitchel,SE,red
531376060,"(42.037556920296716, -93.691149759933)",-10429651.083112076,5166606.94983345,SawyerW,NW,yellow
902201120,"(42.03351832653061, -93.6088355510204)",-10420487.907290876,5166001.649912255,OldTown,DT,dodgerblue
923228080,"(41.99215551070729, -93.60308638866339)",-10419847.913464803,5159804.450016789,MeadowV,SE,red
902326030,"(42.02935814285714, -93.61228857142856)",-10420872.29576441,5165378.16644614,OldTown,DT,dodgerblue
527451330,"(42.051676299375686, -93.62760442259349)",-10422577.248517156,5168723.448984559,BrDale,NO,green
528218100,"(42.06183478929063, -93.64514075104287)",-10424529.383670524,5170246.500691482,Gilbert,NO,green
916386140,"(41.994931209457846, -93.650374)",-10425111.946279626,5160220.194046976,Timber,SW,purple
533221090,"(42.046175343583606, -93.64673497939646)",-10424706.852359055,5167898.798134411,Somerst,NW,yellow
534128010,"(42.04903420384354, -93.63264578650906)",-10423138.45058114,5168327.362297633,NWAmes,NO,green
528106110,"(42.06135122133348, -93.6568043437672)",-10425827.768873418,5170173.994333358,NridgHt,NW,yellow
902206260,"(42.03109366137248, -93.61045453926471)",-10420668.132237831,5165638.262284783,OldTown,DT,dodgerblue
528222090,"(42.06322648533865, -93.64433362330249)",-10424439.534621459,5170455.175192507,Gilbert,NO,green
528218150,"(42.06273418076429, -93.64609380939285)",-10424635.47764074,5170381.357249893,Gilbert,NO,green
903400180,"(42.02954372815348, -93.62737676136398)",-10422551.905385012,5165405.979099466,BrkSide,DT,dodgerblue
535453210,"(42.037273779743664, -93.60675880919582)",-10420256.725448454,5166564.511789879,NAmes,NO,green
916386010,"(41.99523381632653, -93.64923497959184)",-10424985.151107786,5160265.519585821,Timber,SW,purple
907181090,"(42.01738835191348, -93.69047624779365)",-10429576.108083682,5163584.490818757,CollgCr,SW,purple
902206020,"(42.03195016326531, -93.61018020408163)",-10420637.593384944,5165766.625720992,OldTown,DT,dodgerblue
902206020,"(42.03195016326531, -93.61018020408163)",-10420637.593384944,5165766.625720992,OldTown,DT,dodgerblue
527327050,"(42.05450581967213, -93.6315601147541)",-10423017.594154209,5169147.651508225,NWAmes,NO,green
527455250,"(42.048851159119046, -93.62539763059881)",-10422331.589556022,5168299.9219703,NAmes,NO,green
527455250,"(42.048851159119046, -93.62539763059881)",-10422331.589556022,5168299.9219703,NAmes,NO,green
528326110,"(42.055529953039084, -93.65441695383424)",-10425562.005841756,5169301.194544957,NoRidge,NW,yellow
914452190,"(41.99419902380953, -93.60742948809524)",-10420331.385082023,5160110.525553981,Mitchel,SE,red
914452190,"(41.99419902380953, -93.60742948809524)",-10420331.385082023,5160110.525553981,Mitchel,SE,red
535425060,"(42.04129604081633, -93.60521567346939)",-10420084.944365162,5167167.399334069,NAmes,NO,green
532376250,"(42.035861571428576, -93.672579)",-10427583.79557269,5166352.848155054,Sawyer,NW,yellow
532376250,"(42.035861571428576, -93.672579)",-10427583.79557269,5166352.848155054,Sawyer,NW,yellow
535379110,"(42.03594679591837, -93.61386489795919)",-10421047.771631123,5166365.621580026,OldTown,DT,dodgerblue
528118010,"(42.06042873469387, -93.65768375510204)",-10425925.664495409,5170035.677877276,NridgHt,NW,yellow
528235160,"(42.05971268357939, -93.64377151492386)",-10424376.96100298,5169928.3154826,Gilbert,NO,green
905478030,"(42.024861032246065, -93.66069363575488)",-10426260.722877033,5164704.233896708,Edwards,SW,purple
902106130,"(42.031462469387755, -93.62020822448979)",-10421753.907510445,5165693.535113624,OldTown,DT,dodgerblue
902102080,"(42.03339248979592, -93.61561781632653)",-10421242.905611178,5165982.790260956,OldTown,DT,dodgerblue
909176170,"(42.01869102040816, -93.65162163265306)",-10425250.832111262,5163779.679586167,SWISU,SW,purple
533206070,"(42.04744045286655, -93.64761628687974)",-10424804.959059324,5168088.444934506,Somerst,NW,yellow
527302020,"(42.05547019086042, -93.63783989426827)",-10423716.656012021,5169292.23464153,NWAmes,NO,green
907414060,"(42.013971727272725, -93.68636003030302)",-10429117.89284863,5163072.57085471,CollgCr,SW,purple
904301060,"(42.02811888524044, -93.6587373332222)",-10426042.948275257,5165192.447766456,Edwards,SW,purple
532479020,"(42.034612217391306, -93.660487)",-10426237.72029002,5166165.597254035,Sawyer,NW,yellow
528110070,"(42.062250545080964, -93.65827363707724)",-10425991.329856517,5170308.8397097355,NridgHt,NW,yellow
534429130,"(42.04013450915821, -93.62208412387304)",-10421962.731674569,5166993.2960824305,NAmes,NO,green
528365060,"(42.049582, -93.655958)",-10425733.554316215,5168409.483169224,NoRidge,NW,yellow
533135020,"(42.04756942857143, -93.65029857142858)",-10425103.549609464,5168107.779310144,NoRidge,NW,yellow
910203100,"(42.020318, -93.628408)",-10422666.70234486,5164023.467977211,IDOTRR,DT,dodgerblue
905451390,"(42.0245466193626, -93.66738084341767)",-10427005.139428884,5164657.11807586,Edwards,SW,purple
533213010,"(42.04742736392327, -93.6475996487335)",-10424803.106909359,5168086.482810995,Somerst,NW,yellow
528118030,"(42.06042781632653, -93.6575430612245)",-10425910.002524603,5170035.540179461,NridgHt,NW,yellow
907200340,"(42.021390115667074, -93.68792039017747)",-10429291.591315307,5164184.118363936,CollgCr,SW,purple
528164060,"(42.05847504704884, -93.65680995634683)",-10425828.393662924,5169742.751107474,NridgHt,NW,yellow
907202010,"(42.01967954096487, -93.68657648378274)",-10429141.988339772,5163927.799837606,CollgCr,SW,purple
528186180,0,-10421771.804958373,5166153.874296733,NridgHt,NW,yellow
909250060,"(42.019084346938776, -93.64689269387755)",-10424724.409054779,5163838.61548949,SWISU,SW,purple
528315060,"(42.05402771225761, -93.65498388281249)",-10425625.11608693,5169075.972175736,NoRidge,NW,yellow
528231020,"(42.06011711190303, -93.64407676418914)",-10424410.941195756,5169988.954012282,Gilbert,NO,green
528456230,"(42.05118981781087, -93.64722440955204)",-10424761.335474752,5168650.5174276,Somerst,NW,yellow
907180120,"(42.01726976579473, -93.69249042179008)",-10429800.324907333,5163566.722353644,CollgCr,SW,purple
911370410,"(42.00941067078177, -93.6155758230605)",-10421238.230942186,5162389.221147587,Crawfor,SW,purple
527108090,"(42.06318167099153, -93.63640760866966)",-10423557.214708515,5170448.455542246,Gilbert,NO,green
528222050,"(42.0622131258519, -93.64426567751813)",-10424431.970931346,5170303.229000259,Gilbert,NO,green
528429110,0,-10421771.804958373,5166153.874296733,Somerst,NW,yellow
902328100,"(42.02806730612245, -93.61530573469389)",-10421208.164842747,5165184.718051257,OldTown,DT,dodgerblue
527451410,"(42.05168394906352, -93.62743413389023)",-10422558.292065421,5168724.595802557,BrDale,NO,green
531477050,0,-10421771.804958373,5166153.874296733,SawyerW,NW,yellow
914476130,"(41.9957645, -93.601227)",-10419640.927265609,5160345.007804406,Mitchel,SE,red
535453020,"(42.03713342424243, -93.60600708080808)",-10420173.043427117,5166543.474912727,NAmes,NO,green
535379100,"(42.035903530612245, -93.61386526530612)",-10421047.812523996,5166359.136984747,OldTown,DT,dodgerblue
905108190,"(42.03087976925107, -93.67154223074894)",-10427468.382947592,5165606.206667933,Sawyer,NW,yellow
905201110,"(42.032558897959184, -93.6653221632653)",-10426775.968202615,5165857.8574839765,Sawyer,NW,yellow
903227090,"(42.033455469387754, -93.62348414285714)",-10422118.58107498,5165992.229257898,BrkSide,DT,dodgerblue
905107300,"(42.03134108089813, -93.67281318639581)",-10427609.865083024,5165675.342726284,Sawyer,NW,yellow
903401070,"(42.02701343509556, -93.62547046323006)",-10422339.697247446,5165026.784911143,BrkSide,DT,dodgerblue
903230100,"(42.03150042455403, -93.62472727699644)",-10422256.966134354,5165699.223428508,BrkSide,DT,dodgerblue
527105010,"(42.060506142537406, -93.6389760808079)",-10423843.135719059,5170047.284232189,Gilbert,NO,green
528480020,"(42.052132986853664, -93.64365631551216)",-10424364.13706313,5168791.914428078,Somerst,NW,yellow
527402130,"(42.05536916392078, -93.6266190612291)",-10422467.558591826,5169277.088097403,NAmes,NO,green
909251080,"(42.01780281632653, -93.64647512244898)",-10424677.925215982,5163646.592752822,Crawfor,SW,purple
908201120,"(42.0203107, -93.665322)",-10426775.950028004,5164022.3741233405,Edwards,SW,purple
533221080,"(42.04617461230033, -93.64672417527575)",-10424705.649649838,5167898.688512139,Somerst,NW,yellow
535178100,"(42.042223554111345, -93.61584551930625)",-10421268.253390932,5167306.427602496,NAmes,NO,green
535457050,"(42.034682897959186, -93.60670769387755)",-10420251.035317253,5166176.190630207,NAmes,NO,green
923226270,"(41.992332618748165, -93.60312324722655)",-10419852.016541287,5159830.976709429,MeadowV,SE,red
535105090,"(42.046992315952615, -93.61572734636202)",-10421255.098438956,5168021.266328399,NAmes,NO,green
533253070,"(42.04299352441229, -93.64930425966442)",-10424992.86333019,5167421.842732586,Greens,NW,yellow
907280170,"(42.018014, -93.6813538557042)",-10428560.608041467,5163678.235949842,CollgCr,SW,purple
914476450,"(41.99607, -93.603507)",-10419894.735704618,5160390.767286975,Mitchel,SE,red
535327200,"(42.038608571428576, -93.61221769387755)",-10420864.405711524,5166764.576442524,NAmes,NO,green
528441090,"(42.05309237188999, -93.6417069755569)",-10424147.137531927,5168935.744634489,Somerst,NW,yellow
906426195,"(42.02775, -93.679215)",-10428322.511713596,5165137.166271832,ClearCr,SW,purple
534275170,"(42.04216255555556, -93.62367055555556)",-10422139.332441645,5167297.284249555,NAmes,NO,green
923226180,"(41.99253552569278, -93.60262134872586)",-10419796.14545576,5159861.367572519,MeadowV,SE,red
923226320,"(41.992212332620966, -93.60339916510804)",-10419882.731579356,5159812.96061861,MeadowV,SE,red
528118050,"(42.06042720408163, -93.65744926530613)",-10425899.561210731,5170035.448380921,NridgHt,NW,yellow
916253320,0,-10421771.804958373,5166153.874296733,GrnHill,SW,purple
904300150,"(42.02828955914435, -93.65878627384562)",-10426048.396320535,5165218.025229326,ClearCr,SW,purple
533236050,"(42.047128208125024, -93.6423082138302)",-10424214.067070358,5168041.637389131,Somerst,NW,yellow
527354160,"(42.0525554028463, -93.6355961810786)",-10423466.887002261,5168855.242414541,NWAmes,NO,green
528435040,"(42.054149095181536, -93.64371993188)",-10424371.218804805,5169094.170225512,Somerst,NW,yellow
534129230,"(42.04817947474747, -93.630294)",-10422876.650904499,5168199.230103461,NWAmes,NO,green
535325350,"(42.038378, -93.61280176470588)",-10420929.42417872,5166730.017047181,NAmes,NO,green
902408080,"(42.02619203943843, -93.60864389206752)",-10420466.571913835,5164903.6923516225,OldTown,DT,dodgerblue
916455050,"(41.99703640663635, -93.64683644623203)",-10424718.147595523,5160535.522473661,Timber,SW,purple
909276200,"(42.01867749991436, -93.64234020531468)",-10424217.62834612,5163777.6536868075,Crawfor,SW,purple
534277060,"(42.044865, -93.621618)",-10421910.843002375,5167702.37444671,NAmes,NO,green
905107280,"(42.03134156628693, -93.67289230477071)",-10427618.67250023,5165675.415471013,Sawyer,NW,yellow
923204050,"(41.99297998782015, -93.60554288541539)",-10420121.369432373,5159927.93826766,Mitchel,SE,red
531376050,"(42.03758888668608, -93.69114010099126)",-10429650.0078836,5166611.741073608,SawyerW,NW,yellow
903454010,0,-10421771.804958373,5166153.874296733,IDOTRR,DT,dodgerblue
906412010,"(42.02745662663366, -93.68705983880326)",-10429195.79517453,5165093.201287822,CollgCr,SW,purple
535301060,"(42.041233315036166, -93.61727799531303)",-10421427.715890583,5167157.99721693,NAmes,NO,green
534453080,"(42.03602586446804, -93.62847008877344)",-10422673.614035504,5166377.4723695675,BrkSide,DT,dodgerblue
911102180,"(42.021476657417224, -93.6168112727172)",-10421375.760568872,5164197.086267237,IDOTRR,DT,dodgerblue
535403210,"(42.038482504829126, -93.60890513399805)",-10420495.653232515,5166745.680827141,NAmes,NO,green
531382120,"(42.03586988976251, -93.68915891193907)",-10429429.462927146,5166354.0949040875,SawyerW,NW,yellow
916455120,"(41.99551603030303, -93.6469074949495)",-10424726.056702573,5160307.790798563,Timber,SW,purple
905475510,"(42.025082734693875, -93.6633366122449)",-10426554.93767408,5164737.456889161,Edwards,SW,purple
916326090,"(42.00072925266047, -93.64966625676165)",-10425033.160662722,5161088.683187583,Timber,SW,purple
909101140,"(42.022083404893664, -93.65586234297449)",-10425722.905824846,5164288.005222357,Edwards,SW,purple
907260050,"(42.016945472759005, -93.68795145142214)",-10429295.049037248,5163518.131764057,CollgCr,SW,purple
907131090,"(42.020881, -93.690581)",-10429587.76904595,5164107.82996204,CollgCr,SW,purple
903206160,"(42.0307129108596, -93.62732297324361)",-10422545.917718843,5165581.1999841435,BrkSide,DT,dodgerblue
528222020,"(42.06165534795861, -93.64400952242133)",-10424403.455876403,5170219.595127441,Gilbert,NO,green
526352090,"(42.05145469964584, -93.61846427481623)",-10421559.771920817,5168690.227485151,NAmes,NO,green
534201280,"(42.04574050623812, -93.62654775999262)",-10422459.621374488,5167833.614510408,NAmes,NO,green
908102330,"(42.020343414141415, -93.67639185858586)",-10428008.241048936,5164027.276109269,Edwards,SW,purple
906385010,"(42.0246183061451, -93.69300767485137)",-10429857.905254727,5164667.860559171,CollgCr,SW,purple
534276230,"(42.04224059534753, -93.62228029253552)",-10421984.569070186,5167308.981993018,NAmes,NO,green
906420020,"(42.02933283335287, -93.6820322145353)",-10428636.12260112,5165374.373455452,SawyerW,NW,yellow
527404120,"(42.053514279505634, -93.62714799845187)",-10422526.439614126,5168998.997360978,NAmes,NO,green
907192010,"(42.016892, -93.689424)",-10429458.972395103,5163510.119673498,CollgCr,SW,purple
527131030,"(42.06221430156738, -93.63419894544032)",-10423311.34744249,5170303.405289194,StoneBr,NO,green
527452290,"(42.04895500520409, -93.62913307832436)",-10422747.417694714,5168315.489579787,NAmes,NO,green
907250030,"(42.01855820993013, -93.68789159060451)",-10429288.385361511,5163759.779395094,CollgCr,SW,purple
909251040,"(42.01788108163265, -93.64693432653061)",-10424729.043580519,5163658.319804788,Crawfor,SW,purple
535377100,"(42.037159122448976, -93.61220516326532)",-10420863.01081015,5166547.326628703,OldTown,DT,dodgerblue
528174050,"(42.05923777869763, -93.64939269814306)",-10425002.708256599,5169857.110444047,NridgHt,NW,yellow
533128090,0,-10421771.804958373,5166153.874296733,NoRidge,NW,yellow
533250110,"(42.04482523153892, -93.64810611298782)",-10424859.486252254,5167696.4131210875,Veenker,NW,yellow
908186040,"(42.018954981210804, -93.66884622557987)",-10427168.265024995,5163819.23133595,Edwards,SW,purple
903231050,"(42.0323832020202, -93.6236834040404)",-10422140.762728434,5165831.525643476,BrkSide,DT,dodgerblue
908152110,"(42.01879497674418, -93.67513790697674)",-10427868.651794331,5163795.256330052,Edwards,SW,purple
535476110,"(42.03797473457034, -93.6039140588975)",-10419940.049293812,5166669.573565542,NAmes,NO,green
533250050,"(42.04474817188798, -93.64791854964817)",-10424838.606796792,5167684.861825492,Veenker,NW,yellow
535325340,"(42.038378, -93.61274980392156)",-10420923.63993067,5166730.017047182,NAmes,NO,green
909475050,"(42.01119537789834, -93.64359939425104)",-10424357.800617328,5162656.604915315,Crawfor,SW,purple
907196020,"(42.016904971498526, -93.68856952271435)",-10429363.85241877,5163512.06325729,CollgCr,SW,purple
533130160,"(42.04577395463849, -93.65232379747752)",-10425328.996741975,5167838.628525618,NoRidge,NW,yellow
535102010,"(42.04888004672891, -93.61700179201883)",-10421396.969080515,5168304.252521269,NAmes,NO,green
531475220,"(42.035663809096576, -93.68392168757799)",-10428846.4577781,5166323.20765275,SawyerW,NW,yellow
527325070,"(42.054547400000004, -93.63530666666668)",-10423434.658405349,5169153.885384235,NWAmes,NO,green
911175440,"(42.019100407352354, -93.61476988525514)",-10421148.514356082,5163841.021983725,IDOTRR,DT,dodgerblue
903226160,"(42.03363191836735, -93.6245344897959)",-10422235.50516136,5166018.674404124,BrkSide,DT,dodgerblue
902134100,"(42.03025391265237, -93.61426001934532)",-10421091.756342629,5165512.411315965,OldTown,DT,dodgerblue
902111010,"(42.031192483150555, -93.61581118310563)",-10421264.431102565,5165653.072558415,OldTown,DT,dodgerblue
535381040,"(42.03476542857143, -93.61408520408163)",-10421072.295996493,5166188.560067831,OldTown,DT,dodgerblue
910202060,"(42.0226691058526, -93.62532593181547)",-10422323.608083969,5164375.771254525,IDOTRR,DT,dodgerblue
535477180,"(42.03487444444444, -93.60366755555556)",-10419912.608667308,5166204.899060554,NAmes,NO,green
528429120,0,-10421771.804958373,5166153.874296733,Somerst,NW,yellow
908127050,"(42.021015163265304, -93.67148908163266)",-10427462.466415033,5164127.93358797,Edwards,SW,purple
528439010,"(42.05320373339322, -93.64314439766459)",-10424307.15062901,5168952.439999121,Somerst,NW,yellow
906223110,"(42.03165394178435, -93.68201150262026)",-10428633.816961285,5165722.230985761,SawyerW,NW,yellow
528358010,"(42.05142939902178, -93.65514834748906)",-10425643.424210979,5168686.434506551,NoRidge,NW,yellow
532378160,"(42.034588484848484, -93.66994189898989)",-10427290.234831076,5166162.040299492,Sawyer,NW,yellow
531450040,"(42.037328774081566, -93.6878976855827)",-10429289.063851379,5166572.754508532,SawyerW,NW,yellow
527326040,"(42.055129455191484, -93.63508069267212)",-10423409.503095342,5169241.149672261,NWAmes,NO,green
903204095,"(42.03348381632653, -93.62577067346939)",-10422373.116498418,5165996.477727168,BrkSide,DT,dodgerblue
527182170,0,-10421771.804958373,5166153.874296733,StoneBr,NO,green
905105040,"(42.03108467910268, -93.67588045842474)",-10427951.312243408,5165636.916126442,Sawyer,NW,yellow
528477020,"(42.052302992576074, -93.64365697352228)",-10424364.210312482,5168817.401386156,Somerst,NW,yellow
905202210,"(42.03214923147222, -93.66717891980687)",-10426982.661395349,5165796.460204105,ClearCr,SW,purple
903425190,"(42.026954661556644, -93.62286472313643)",-10422049.627587082,5165017.977184113,OldTown,DT,dodgerblue
535150210,"(42.04218612244898, -93.61728436734694)",-10421428.425222151,5167300.816798123,NAmes,NO,green
535453160,"(42.036146841115006, -93.60671839298679)",-10420252.226336645,5166395.604370786,NAmes,NO,green
535353130,"(42.034562891030866, -93.61907956662775)",-10421628.265891964,5166158.204384764,OldTown,DT,dodgerblue
535456070,"(42.03473895918367, -93.6077650612245)",-10420368.740911895,5166184.592914598,NAmes,NO,green
908250090,"(42.01805245, -93.66655328915087)",-10426913.016509298,5163683.997206349,Edwards,SW,purple
527452070,"(42.050471, -93.627279)",-10422541.022639757,5168542.755883229,NPkVill,NO,green
902325100,"(42.02906930612245, -93.61532728571427)",-10421210.563891362,5165334.880225993,OldTown,DT,dodgerblue
921126030,"(41.99220133684465, -93.65334056596954)",-10425442.18289276,5159811.313706326,Timber,SW,purple
905401060,"(42.02864482351206, -93.66624914356966)",-10426879.15917807,5165271.265933123,ClearCr,SW,purple
916402125,"(41.99958722865255, -93.64609469150162)",-10424635.57583664,5160917.613104307,Timber,SW,purple
531452010,"(42.03465549651289, -93.68622907491604)",-10429103.314961635,5166172.083788175,SawyerW,NW,yellow
528363070,"(42.051655, -93.653742)",-10425486.87032462,5168720.255847487,NoRidge,NW,yellow
533208090,"(42.04772986946443, -93.64603878546191)",-10424629.352404768,5168131.830596098,Somerst,NW,yellow
534401130,"(42.0392109, -93.6294784)",-10422785.858727807,5166854.857566132,NAmes,NO,green
910203230,"(42.0208634872324, -93.62945981841197)",-10422783.79023489,5164105.205773456,IDOTRR,DT,dodgerblue
907420090,"(42.01428485970911, -93.68382685513305)",-10428835.901078619,5163119.486993113,CollgCr,SW,purple
902303100,"(42.02795584333695, -93.6186268970768)",-10421577.874948055,5165168.014111446,OldTown,DT,dodgerblue
906392120,"(42.02326647986106, -93.68911880614316)",-10429424.998370366,5164465.287300921,CollgCr,SW,purple
903484080,"(42.02295797959184, -93.62398130612245)",-10422173.925036514,5164419.0586623205,IDOTRR,DT,dodgerblue
527301320,"(42.05361420021923, -93.63735972351776)",-10423663.20364858,5169013.97761565,NWAmes,NO,green
527140090,"(42.06055687660365, -93.63422767405338)",-10423314.545497065,5170054.891189657,StoneBr,NO,green
909428170,"(42.01264838383838, -93.64039073737374)",-10424000.614567615,5162874.298948682,Crawfor,SW,purple
905228050,"(42.032688, -93.659392)",-10426115.8254476,5165877.20626641,Sawyer,NW,yellow
533234020,"(42.04661079961037, -93.64350378515023)",-10424347.15746091,5167964.074947985,Somerst,NW,yellow
533212100,"(42.04749027140474, -93.64492734127276)",-10424505.627003586,5168095.913083116,Somerst,NW,yellow
534475185,"(42.03475926805175, -93.62560211863473)",-10422354.353060054,5166187.636747287,NAmes,NO,green
905452150,"(42.0258097972012, -93.66607205192382)",-10426859.445426231,5164846.410906888,Edwards,SW,purple
528176010,"(42.05735590330952, -93.65612294798628)",-10425751.916242056,5169574.955999713,NridgHt,NW,yellow
535450160,"(42.035835, -93.609088)",-10420516.009782735,5166348.865639564,NAmes,NO,green
533215040,"(42.04654737280063, -93.64690805338492)",-10424726.11886732,5167954.566956586,Somerst,NW,yellow
528104010,"(42.063149387238916, -93.65417937402002)",-10425535.558577813,5170443.614784564,NridgHt,NW,yellow
535325090,"(42.0400426, -93.61245539999999)",-10420890.867036032,5166979.519853979,NAmes,NO,green
909250210,"(42.018795670013375, -93.64838541912323)",-10424890.578469023,5163795.360209103,SWISU,SW,purple
527325110,"(42.055141, -93.633802)",-10423267.1596782,5169242.880529094,NWAmes,NO,green
910202030,"(42.0227918367347, -93.62548479591837)",-10422341.29275501,5164394.162316362,IDOTRR,DT,dodgerblue
535175180,"(42.04484653880461, -93.61509322351316)",-10421184.508206319,5167699.607097596,NAmes,NO,green
534202160,"(42.046580774503724, -93.62633287305052)",-10422435.700269515,5167959.57403533,NAmes,NO,green
916403020,"(41.9980307755102, -93.64656387755102)",-10424687.805388745,5160684.468335582,Timber,SW,purple
535354100,"(42.03484223074918, -93.61721855921348)",-10421421.099494245,5166200.0709595075,NAmes,NO,green
905227050,"(42.033383, -93.660485)",-10426237.497651037,5165981.367989059,Sawyer,NW,yellow
534451020,"(42.03605240841249, -93.62874606568023)",-10422704.33564424,5166381.450777695,BrkSide,DT,dodgerblue
533120030,"(42.04741032017221, -93.65330321505161)",-10425438.025007596,5168083.927834931,NoRidge,NW,yellow
905352010,0,-10421771.804958373,5166153.874296733,ClearCr,SW,purple
905108220,"(42.03156251472419, -93.67123417821566)",-10427434.09069645,5165708.528847285,Sawyer,NW,yellow
527165170,"(42.057411971538116, -93.63599502545436)",-10423511.286155077,5169583.362333401,Gilbert,NO,green
535353190,"(42.03586727206577, -93.62030063844821)",-10421764.19498524,5166353.70256458,NAmes,NO,green
528315070,"(42.0540636125256, -93.6550738827899)",-10425635.134838587,5169081.354435474,NoRidge,NW,yellow
903232060,"(42.032363181818184, -93.62260554545455)",-10422020.776059512,5165828.52518736,BrkSide,DT,dodgerblue
906204180,"(42.033189328297496, -93.68363058276195)",-10428814.052138211,5165952.341718961,SawyerW,NW,yellow
906475110,"(42.024522800247645, -93.68225547575491)",-10428660.975926401,5164653.548711413,ClearCr,SW,purple
906223040,"(42.03417035507626, -93.68164962467063)",-10428593.532892203,5166099.372618492,SawyerW,NW,yellow
909253190,"(42.0167937755102, -93.64838363265305)",-10424890.379600072,5163495.402225146,SWISU,SW,purple
923400150,"(41.986502525252526, -93.60612031313131)",-10420185.648391679,5158957.80217393,Mitchel,SE,red
923226290,"(41.992285539793606, -93.60323406682329)",-10419864.352922367,5159823.92536254,MeadowV,SE,red
909282020,"(42.015826475536294, -93.6427680895134)",-10424265.260197239,5163350.468225746,Crawfor,SW,purple
528110110,"(42.062261083312976, -93.65697128723737)",-10425846.352935506,5170310.419832628,NridgHt,NW,yellow
534479320,"(42.03736035134902, -93.62139680717897)",-10421886.21993017,5166577.48740866,NAmes,NO,green
528150110,"(42.05957007718205, -93.65788842723664)",-10425948.448493212,5169906.933683888,NridgHt,NW,yellow
906380160,"(42.02462195659309, -93.69142847419396)",-10429682.109441683,5164668.4075902775,CollgCr,SW,purple
911370460,"(42.009410175867174, -93.61543940059218)",-10421223.044462482,5162389.147000817,Crawfor,SW,purple
535477090,"(42.036550780194254, -93.6036697126137)",-10419912.84878992,5166456.147081374,NAmes,NO,green
534478230,"(42.03619649733313, -93.62245830908866)",-10422004.385782234,5166403.046863524,NAmes,NO,green
906426060,"(42.028262360054484, -93.68179635857511)",-10428609.867235731,5165213.949125834,ClearCr,SW,purple
528235190,"(42.06055030637491, -93.64365786824767)",-10424364.309912857,5170053.906063258,Gilbert,NO,green
923225440,"(41.99197269387755, -93.60405887755103)",-10419956.170432579,5159777.068356887,MeadowV,SE,red
923276030,"(41.98891501194138, -93.60371822707666)",-10419918.249395233,5159319.111199031,Mitchel,SE,red
909425060,"(42.014630529934195, -93.64298118780833)",-10424288.982190918,5163171.278485244,Crawfor,SW,purple
902332030,"(42.02722873813198, -93.61222826161584)",-10420865.582106767,5165059.0500171,OldTown,DT,dodgerblue
528188060,0,-10421771.804958373,5166153.874296733,NridgHt,NW,yellow
527105140,"(42.060855970275746, -93.64016214507029)",-10423975.167788796,5170099.736779173,Gilbert,NO,green
535477150,"(42.036222982244986, -93.60366895117828)",-10419912.764027318,5166407.016434497,NAmes,NO,green
535327210,"(42.039464510204084, -93.61222924489796)",-10420865.691565234,5166892.870653125,NAmes,NO,green
533213070,"(42.047118766917635, -93.64634438338976)",-10424663.371410482,5168040.22209348,Somerst,NW,yellow
904100100,0,-10421771.804958373,5166153.874296733,Sawyer,NW,yellow
528188120,0,-10421771.804958373,5166153.874296733,NridgHt,NW,yellow
528480180,"(42.05138551893792, -93.64384909097967)",-10424385.59673001,5168679.856165709,Somerst,NW,yellow
