PID,MSSubClass,Foundation,PavedDrive,BsmtUnfSF,AllBathBsmt,AllBathAbv,HeatingQC,Neighborhood,YearBuilt,SalePrice,GarageCars,PorchArea,GoodLivArea,CentralAir,KitchenQual,ExterQual,BsmtCond,FireplaceQu,GarageQual,HasPool
527162080,2Fl,PConc,Y,277.0,0.0,2.5,Gd,Gilbert,1996,178750,2.0,44,1967.0,Y,Gd,Gd,TA,None,TA,0
527162090,1Fl,PConc,Y,1237.0,0.0,2.0,Gd,Gilbert,1995,176000,2.0,241,1253.0,Y,TA,TA,Gd,TA,TA,0
527162110,2Fl,PConc,Y,832.0,0.0,2.5,Gd,Gilbert,1998,185000,2.0,385,1718.0,Y,TA,TA,TA,TA,TA,0
527162120,2Fl,PConc,Y,476.0,1.0,2.5,Gd,Gilbert,1998,191000,2.0,84,2112.0,Y,TA,Gd,TA,TA,TA,0
527162130,2Fl,PConc,Y,994.0,0.0,2.5,Gd,Gilbert,1999,189000,2.0,200,1804.0,Y,Gd,TA,TA,TA,TA,0
527162140,2Fl,PConc,Y,938.0,0.0,3.5,Ex,Gilbert,1999,204000,2.0,218,2299.0,Y,TA,TA,TA,TA,TA,0
527162180,2Fl,PConc,Y,932.0,0.0,2.5,Gd,Gilbert,1998,183000,2.0,39,1633.0,Y,TA,TA,TA,TA,TA,0
527163010,2Fl,PConc,Y,763.0,0.0,2.5,Gd,Gilbert,1993,175900,2.0,241,1655.0,Y,TA,TA,TA,TA,TA,0
527163020,2Fl,PConc,Y,179.0,0.0,2.5,Gd,Gilbert,1993,165600,2.0,253,2019.0,Y,Gd,TA,TA,TA,TA,0
527163040,2Fl,PConc,Y,799.0,0.0,2.5,Gd,Gilbert,1993,178000,2.0,40,1571.0,Y,TA,Gd,TA,TA,TA,0
527163070,2Fl,PConc,Y,370.0,0.0,2.5,Gd,Gilbert,1993,185000,2.0,295,1780.0,Y,TA,Ex,Gd,TA,TA,0
527163080,1Fl,PConc,Y,1168.0,0.0,2.0,Gd,Gilbert,1992,160000,2.0,21,1187.0,Y,Gd,TA,TA,None,TA,0
527163100,2Fl,PConc,Y,554.0,1.0,2.5,Gd,Gilbert,1995,188000,2.0,308,1877.0,Y,TA,TA,TA,TA,TA,0
527163130,2Fl,PConc,Y,107.0,1.0,2.5,Gd,Gilbert,1994,181316,2.0,46,2116.0,Y,Gd,TA,TA,TA,TA,0
527164020,1Fl,PConc,Y,1181.0,0.0,2.0,Ex,Gilbert,1993,166000,2.0,21,1190.0,Y,Gd,TA,TA,TA,TA,0
527164060,2Fl,PConc,Y,808.0,0.0,2.5,Gd,Gilbert,1992,178000,2.0,382,1593.0,Y,TA,TA,TA,TA,TA,0
527164090,2Fl,PConc,Y,702.0,0.0,2.5,Gd,Gilbert,1994,174000,2.0,36,1481.0,Y,TA,TA,TA,TA,TA,0
527164120,2Fl,PConc,Y,712.0,0.0,2.5,Ex,Gilbert,1994,194500,2.0,189,1895.0,Y,Gd,Gd,TA,TA,TA,0
527165010,2Fl,PConc,Y,332.0,1.0,2.5,Gd,Gilbert,1991,185000,2.0,40,2213.0,Y,Gd,TA,TA,None,TA,0
527165020,SPLIT,PConc,Y,384.0,0.0,2.5,Gd,Gilbert,1991,160000,2.0,164,1472.0,Y,Gd,Gd,TA,TA,TA,0
527165100,SPLIT,PConc,Y,384.0,0.0,2.5,Gd,Gilbert,1992,163900,2.0,125,1482.0,Y,Gd,TA,TA,TA,TA,0
527165130,1Fl,PConc,Y,598.0,1.0,2.0,Gd,Gilbert,1992,173000,2.0,146,1727.0,Y,Gd,TA,TA,None,TA,0
527165170,2Fl,PConc,Y,903.0,0.0,2.5,Gd,Gilbert,1993,168000,2.0,374,1642.0,Y,TA,TA,TA,TA,TA,0
527165230,1Fl,PConc,Y,233.0,1.0,2.0,Ex,Gilbert,1992,185000,2.0,504,2122.0,Y,TA,TA,TA,None,TA,0
527166010,2Fl,PConc,Y,284.0,0.0,2.5,Ex,Gilbert,1999,225000,2.0,0,2677.0,Y,Gd,Gd,TA,TA,TA,0
527166030,2Fl,PConc,Y,935.0,0.0,2.5,Gd,Gilbert,1998,176500,2.0,28,1632.0,Y,TA,TA,TA,TA,TA,0
527166040,2Fl,PConc,Y,789.0,0.0,2.5,Gd,Gilbert,1998,180400,2.0,75,1465.0,Y,TA,TA,TA,Gd,TA,0
527175130,1Fl,CBlock,P,752.0,1.0,1.0,Fa,Gilbert,1964,154204,2.0,354,1678.0,Y,TA,TA,TA,TA,TA,0
527180040,1Fl,PConc,Y,663.0,1.0,1.5,Gd,Gilbert,1990,171500,2.0,192,1978.0,Y,Gd,TA,TA,Po,TA,0
527180100,1Fl,PConc,Y,1424.0,0.0,2.0,Ex,Gilbert,1990,180500,2.0,542,1442.0,Y,TA,TA,TA,None,TA,0
527182020,1FlPUD,CBlock,Y,1191.0,0.0,2.0,TA,StoneBr,1987,130000,2.0,190,1204.0,Y,TA,TA,TA,None,TA,0
527182040,1FlPUD,CBlock,Y,1074.0,0.0,1.5,Ex,StoneBr,1986,170000,2.0,211,1088.0,Y,Gd,Gd,TA,None,TA,0
527182170,2FlPUD,CBlock,Y,180.0,1.0,2.0,Gd,StoneBr,1984,207500,2.0,219,3100.0,Y,Gd,Gd,TA,TA,TA,0
527182190,1FlPUD,PConc,Y,0.0,1.0,1.5,TA,StoneBr,1985,212000,2.0,194,2990.0,Y,Gd,Gd,TA,None,TA,0
527183030,1FlPUD,PConc,Y,461.0,1.0,2.0,Gd,StoneBr,1988,189000,2.0,288,1995.0,Y,Gd,Gd,TA,Gd,TA,0
527183060,1FlPUD,PConc,Y,1018.0,1.0,2.0,Gd,StoneBr,1989,188500,2.0,227,1656.0,Y,Gd,Gd,TA,TA,TA,0
527184020,1FlPUD,CBlock,Y,918.0,1.0,2.0,Gd,StoneBr,1988,182000,2.0,243,1427.0,Y,TA,Gd,TA,None,TA,0
527184110,1FlPUD,PConc,Y,386.0,1.0,1.0,Gd,StoneBr,1990,212000,2.0,204,2247.0,Y,Gd,Gd,TA,TA,TA,0
527190050,2FlPUD,PConc,Y,354.0,1.0,2.0,Gd,StoneBr,1987,239000,2.0,476,2477.0,Y,Gd,Gd,Gd,TA,Gd,0
527190220,1FlPUD,PConc,Y,594.0,1.0,2.0,TA,StoneBr,1985,275000,2.0,376,2890.0,Y,Gd,Gd,TA,TA,TA,0
527208010,2Fl,PConc,Y,1152.0,0.0,3.5,Ex,StoneBr,2005,355000,3.0,224,2516.0,Y,Ex,Gd,TA,Gd,TA,0
527210050,2Fl,PConc,Y,889.0,0.0,2.5,Ex,StoneBr,2006,356383,3.0,285,2678.0,Y,Gd,Gd,Gd,Gd,TA,0
527210060,1Fl,PConc,Y,673.0,1.0,2.0,Ex,StoneBr,2005,377426,3.0,229,3171.0,Y,Gd,Gd,TA,Gd,TA,0
527212040,2Fl,PConc,Y,1234.0,0.0,2.5,Ex,StoneBr,2006,361919,3.0,424,2576.0,Y,Ex,Ex,Gd,Gd,TA,0
527212050,2Fl,PConc,Y,1122.0,0.0,2.5,Ex,StoneBr,2005,325000,3.0,183,2504.0,Y,Ex,Gd,Gd,Gd,TA,0
527212060,2Fl,PConc,Y,163.0,1.0,3.5,Ex,StoneBr,2005,349265,3.0,152,3527.0,Y,Ex,Gd,TA,Gd,TA,0
527214030,1Fl,PConc,Y,547.0,1.0,2.0,Ex,StoneBr,2004,387000,3.0,290,3221.0,Y,Ex,Ex,TA,Gd,TA,0
527214060,2Fl,PConc,Y,644.0,1.0,2.5,Ex,StoneBr,2006,535000,3.0,250,3904.0,Y,Ex,Ex,TA,Gd,TA,0
527216070,2Fl,PConc,Y,234.0,1.0,3.5,Ex,StoneBr,2003,538000,3.0,749,4695.0,Y,Ex,Ex,TA,Gd,TA,0
527216080,1Fl,PConc,Y,1559.0,1.0,2.5,Ex,StoneBr,2006,591587,3.0,457,3439.0,Y,Gd,Ex,TA,Gd,Gd,0
527225035,1Fl,Wood,Y,132.0,0.0,2.0,Gd,Gilbert,1988,164000,2.0,337,2179.0,Y,TA,Gd,TA,None,TA,0
527226010,2Fl,Slab,P,0.0,0.0,2.0,Gd,Gilbert,1948,169000,2.0,264,2267.0,Y,TA,TA,None,TA,TA,0
527226020,1Fl,CBlock,Y,1632.0,0.0,1.0,TA,Gilbert,1952,115000,2.0,144,1474.0,Y,TA,TA,TA,Gd,TA,0
527226040,DUP2FAM,CBlock,N,53.0,1.0,1.5,TA,Gilbert,1969,155000,3.0,144,2471.0,Y,TA,TA,TA,None,TA,0
527250040,DUP2FAM,CBlock,Y,0.0,1.0,1.0,TA,Gilbert,1955,145000,2.0,264,2112.0,N,TA,TA,TA,None,TA,0
527252050,1FlPUD,PConc,Y,815.0,1.0,2.0,Ex,StoneBr,2006,319900,2.0,164,2409.0,Y,Ex,Gd,TA,Gd,TA,0
527252070,1Fl,PConc,Y,474.0,1.0,2.0,Ex,StoneBr,2007,392000,2.0,140,2364.0,Y,Gd,Gd,TA,Gd,TA,0
527252080,1FlPUD,PConc,Y,676.0,1.0,2.0,Ex,StoneBr,2007,334000,2.0,204,2744.0,Y,Ex,Ex,TA,Gd,TA,0
527252090,1FlPUD,PConc,Y,523.0,1.0,2.0,Ex,StoneBr,2005,318000,2.0,211,2905.0,Y,Gd,Gd,TA,Gd,TA,0
527254020,1Fl,PConc,Y,2046.0,0.0,2.5,Ex,StoneBr,2008,372500,3.0,404,2046.0,Y,Gd,Gd,TA,Gd,TA,0
527256030,1Fl,PConc,Y,662.0,1.0,1.5,Ex,StoneBr,2006,441929,2.0,470,3792.0,Y,Gd,Gd,Gd,Gd,TA,0
527256040,1Fl,PConc,Y,590.0,1.0,2.0,Ex,StoneBr,2006,455000,3.0,466,3194.0,Y,Ex,Ex,TA,Gd,TA,0
527256120,1Fl,PConc,Y,494.0,1.0,2.5,Ex,StoneBr,2005,470000,3.0,576,3416.0,Y,Ex,Ex,TA,Gd,TA,0
527258010,1Fl,PConc,Y,411.0,1.0,1.5,Ex,StoneBr,2010,394432,3.0,113,3301.0,Y,Ex,Gd,TA,Ex,TA,0
527258020,1Fl,PConc,Y,256.0,1.0,2.0,Ex,StoneBr,2005,260000,2.0,204,2804.0,Y,Gd,Gd,TA,Gd,TA,0
527276040,1Fl,CBlock,Y,1488.0,0.0,2.5,Gd,Gilbert,1950,133000,2.0,180,1488.0,Y,TA,TA,TA,TA,TA,0
527276150,1Fl,CBlock,Y,744.0,0.0,1.0,Ex,Gilbert,1951,141000,2.0,0,984.0,Y,TA,TA,TA,None,TA,0
527276160,2Fl,PConc,P,722.0,1.0,2.5,Ex,Gilbert,1977,185000,2.0,376,2334.0,Y,TA,TA,TA,TA,TA,0
527301010,1Fl,CBlock,Y,995.0,1.0,2.0,Ex,NWAmes,1984,202500,2.0,153,1834.0,Y,Gd,Gd,TA,None,TA,0
527301080,1Fl,CBlock,Y,762.0,0.0,2.0,Ex,NWAmes,1981,182900,2.0,99,2118.0,Y,Gd,Gd,TA,TA,TA,0
527301170,2Fl,CBlock,Y,791.0,0.0,2.5,Gd,NWAmes,1986,215000,2.0,427,2093.0,Y,TA,TA,TA,TA,TA,0
527301245,1Fl,CBlock,Y,692.0,1.0,2.0,Ex,NWAmes,1988,226500,2.0,189,2671.0,Y,Ex,Gd,Gd,Ex,TA,0
527301320,2Fl,CBlock,Y,153.0,1.0,2.5,TA,NWAmes,1980,260000,2.0,483,3045.0,Y,Ex,Gd,TA,TA,TA,0
527302020,SPLIT,CBlock,Y,585.0,0.0,3.5,Ex,NWAmes,1984,178000,2.0,527,1868.0,Y,TA,TA,TA,TA,TA,0
527302050,1Fl,CBlock,Y,606.0,0.0,2.0,TA,NWAmes,1981,175500,2.0,276,2238.0,Y,Gd,TA,TA,TA,TA,0
527302060,2Fl,CBlock,Y,404.0,0.0,2.5,Ex,NWAmes,1981,176000,2.0,239,1800.0,Y,Gd,Gd,TA,TA,TA,0
527302070,1Fl,CBlock,Y,513.0,1.0,2.0,TA,NWAmes,1983,181900,2.0,152,2007.0,Y,TA,Gd,TA,None,TA,0
527302080,1Fl,PConc,Y,0.0,0.0,2.5,Gd,NWAmes,1988,229000,3.0,0,3387.0,Y,Gd,Gd,Gd,None,TA,0
527302090,1Fl,CBlock,Y,201.0,1.0,2.0,TA,NWAmes,1978,213000,2.0,0,2992.0,Y,Gd,TA,TA,TA,TA,0
527302110,1Fl,CBlock,Y,589.0,1.0,2.0,TA,NWAmes,1978,210000,2.0,349,3026.0,Y,TA,TA,TA,TA,TA,0
527302175,1Fl,CBlock,Y,1362.0,0.0,2.0,TA,NWAmes,1979,181000,2.0,192,1586.0,Y,TA,TA,Fa,TA,TA,0
527302185,1Fl,CBlock,Y,656.0,1.0,2.0,TA,NWAmes,1978,235000,2.0,200,3456.0,Y,Gd,Gd,TA,Fa,TA,0
527302210,1Fl,CBlock,Y,469.0,0.5,2.0,TA,NWAmes,1979,220000,2.0,467,3095.0,Y,Gd,Gd,Fa,TA,TA,0
527325070,2Fl,CBlock,Y,434.0,1.0,2.5,TA,NWAmes,1977,272000,2.0,832,3768.0,Y,TA,TA,Gd,TA,TA,0
527325090,2Fl,CBlock,Y,22.0,1.0,2.5,TA,NWAmes,1979,192000,2.0,264,2688.0,Y,Gd,TA,TA,TA,TA,0
527325110,2Fl,CBlock,Y,808.0,0.0,2.5,TA,NWAmes,1977,190000,2.0,276,1969.0,Y,TA,TA,TA,Gd,TA,0
527325160,2Fl,CBlock,Y,0.0,1.0,2.5,Fa,NWAmes,1977,235000,2.0,250,3058.0,Y,Gd,TA,TA,TA,TA,0
527325240,1Fl,PConc,Y,273.0,1.0,2.0,TA,NWAmes,1976,161000,2.0,174,2149.0,Y,Gd,TA,TA,Po,TA,0
527326040,1Fl,CBlock,Y,564.0,0.0,2.0,TA,NWAmes,1977,82500,2.0,192,2233.0,Y,TA,TA,TA,TA,TA,0
527326130,1Fl,PConc,Y,266.0,0.5,2.0,TA,NWAmes,1977,175000,2.0,180,1986.0,Y,Ex,TA,TA,None,TA,0
527326150,1Fl,CBlock,Y,356.0,0.5,2.0,Gd,NWAmes,1977,215000,2.0,240,2848.0,Y,Gd,Gd,TA,TA,TA,0
527327050,2Fl,CBlock,Y,692.0,0.0,2.5,TA,NWAmes,1976,195000,2.0,224,2186.0,Y,Gd,TA,TA,TA,TA,0
527327080,2Fl,PConc,Y,84.0,1.0,2.5,TA,NWAmes,1976,190000,2.0,417,2286.0,Y,TA,TA,TA,TA,TA,0
527328010,SPLIT,CBlock,Y,138.0,1.0,1.0,TA,NWAmes,1980,169000,2.0,162,1952.0,Y,TA,TA,TA,TA,TA,0
527328020,SPLIT,CBlock,Y,427.0,0.5,2.0,TA,NWAmes,1978,148000,2.0,0,1637.0,Y,TA,TA,TA,TA,TA,0
527328050,1Fl,CBlock,Y,372.0,0.0,2.0,TA,NWAmes,1984,151500,2.0,307,1958.0,Y,Gd,TA,TA,None,TA,0
527352150,2Fl,CBlock,Y,832.0,0.0,2.5,TA,NWAmes,1978,154000,2.0,384,2050.0,Y,Gd,TA,TA,TA,TA,0
527353020,1Fl,PConc,Y,1064.0,0.0,2.0,TA,NWAmes,1978,200000,2.0,307,2034.0,Y,TA,TA,TA,TA,TA,0
527353060,2Fl,CBlock,Y,441.0,0.0,2.5,TA,NWAmes,1980,249000,2.0,262,3275.0,Y,Gd,TA,TA,TA,TA,0
527353080,2Fl,CBlock,Y,114.0,0.0,2.5,TA,NWAmes,1979,197000,2.0,304,2150.0,Y,TA,TA,TA,TA,TA,0
527354040,1Fl,CBlock,Y,916.0,0.5,2.0,Gd,NWAmes,1988,241500,2.0,236,2801.0,Y,TA,TA,TA,TA,TA,0
527354050,1Fl,CBlock,Y,356.0,1.0,2.0,Ex,NWAmes,1979,192350,2.0,381,2256.0,Y,TA,TA,TA,TA,TA,0
527354100,SPLIT,CBlock,Y,336.0,1.0,2.0,TA,NWAmes,1980,187500,2.0,281,2508.0,Y,TA,TA,TA,TA,TA,0
527354160,2Fl,CBlock,Y,738.0,0.0,2.5,TA,NWAmes,1980,185000,2.0,101,2044.0,Y,TA,TA,TA,TA,TA,0
527354200,1Fl,PConc,Y,308.0,0.0,2.0,Gd,NWAmes,1978,184000,2.0,0,2539.0,Y,TA,TA,TA,TA,TA,0
527355060,2Fl,CBlock,Y,945.0,0.0,2.5,TA,NWAmes,1978,188900,2.0,505,1857.0,Y,TA,TA,TA,TA,TA,0
527355150,1Fl,PConc,Y,1420.0,1.0,2.5,TA,NWAmes,1981,278000,2.0,594,3628.0,Y,Gd,Gd,TA,Gd,TA,0
527355280,1Fl,CBlock,Y,0.0,1.0,2.0,TA,NWAmes,1980,207500,2.0,515,3372.0,Y,TA,TA,TA,TA,TA,0
527356020,2Fl,CBlock,Y,133.0,1.0,3.5,TA,NWAmes,1978,250000,2.0,552,4043.0,Y,Gd,TA,TA,TA,TA,1
527356050,2Fl,CBlock,Y,0.0,0.0,2.5,Ex,NWAmes,1969,152000,2.0,208,2400.0,Y,TA,TA,TA,None,TA,0
527356060,2Fl,CBlock,Y,163.0,1.0,2.5,TA,NWAmes,1975,179900,2.0,417,2102.0,Y,TA,TA,TA,TA,TA,0
527357020,1Fl,CBlock,Y,1012.0,0.5,2.0,TA,NWAmes,1971,170000,2.0,249,1833.0,Y,TA,TA,TA,TA,TA,0
527357110,2Fl,CBlock,Y,440.0,0.0,1.5,Gd,NWAmes,1969,146900,2.0,0,1588.0,Y,TA,TA,Fa,None,TA,0
527357180,2Fl,PConc,Y,432.0,0.5,2.5,Ex,NWAmes,1978,292500,3.0,224,3828.0,Y,Gd,Gd,TA,Gd,TA,0
