PID,lat_long
533206070,"(42.04744045286655, -93.64761628687974)"
527302020,"(42.05547019086042, -93.63783989426827)"
907414060,"(42.013971727272725, -93.68636003030302)"
904301060,"(42.02811888524044, -93.6587373332222)"
532479020,"(42.034612217391306, -93.660487)"
528110070,"(42.062250545080964, -93.65827363707724)"
534429130,"(42.04013450915821, -93.62208412387304)"
528365060,"(42.049582, -93.655958)"
533135020,"(42.04756942857143, -93.65029857142858)"
910203100,"(42.020318, -93.628408)"
905451390,"(42.0245466193626, -93.66738084341767)"
533213010,"(42.04742736392327, -93.6475996487335)"
528118030,"(42.06042781632653, -93.6575430612245)"
907200340,"(42.021390115667074, -93.68792039017747)"
528164060,"(42.05847504704884, -93.65680995634683)"
907202010,"(42.01967954096487, -93.68657648378274)"
528186180,0
909250060,"(42.019084346938776, -93.64689269387755)"
528315060,"(42.05402771225761, -93.65498388281249)"
528231020,"(42.06011711190303, -93.64407676418914)"
528456230,"(42.05118981781087, -93.64722440955204)"
907180120,"(42.01726976579473, -93.69249042179008)"
911370410,"(42.00941067078177, -93.6155758230605)"
527108090,"(42.06318167099153, -93.63640760866966)"
528222050,"(42.0622131258519, -93.64426567751813)"
528429110,0
902328100,"(42.02806730612245, -93.61530573469389)"
527451410,"(42.05168394906352, -93.62743413389023)"
531477050,0
914476130,"(41.9957645, -93.601227)"
535453020,"(42.03713342424243, -93.60600708080808)"
535379100,"(42.035903530612245, -93.61386526530612)"
905108190,"(42.03087976925107, -93.67154223074894)"
905201110,"(42.032558897959184, -93.6653221632653)"
903227090,"(42.033455469387754, -93.62348414285714)"
905107300,"(42.03134108089813, -93.67281318639581)"
903401070,"(42.02701343509556, -93.62547046323006)"
903230100,"(42.03150042455403, -93.62472727699644)"
527105010,"(42.060506142537406, -93.6389760808079)"
528480020,"(42.052132986853664, -93.64365631551216)"
527402130,"(42.05536916392078, -93.6266190612291)"
909251080,"(42.01780281632653, -93.64647512244898)"
908201120,"(42.0203107, -93.665322)"
533221080,"(42.04617461230033, -93.64672417527575)"
535178100,"(42.042223554111345, -93.61584551930625)"
535457050,"(42.034682897959186, -93.60670769387755)"
923226270,"(41.992332618748165, -93.60312324722655)"
535105090,"(42.046992315952615, -93.61572734636202)"
533253070,"(42.04299352441229, -93.64930425966442)"
907280170,"(42.018014, -93.6813538557042)"
914476450,"(41.99607, -93.603507)"
535327200,"(42.038608571428576, -93.61221769387755)"
528441090,"(42.05309237188999, -93.6417069755569)"
906426195,"(42.02775, -93.679215)"
534275170,"(42.04216255555556, -93.62367055555556)"
923226180,"(41.99253552569278, -93.60262134872586)"
923226320,"(41.992212332620966, -93.60339916510804)"
528118050,"(42.06042720408163, -93.65744926530613)"
916253320,0
904300150,"(42.02828955914435, -93.65878627384562)"
533236050,"(42.047128208125024, -93.6423082138302)"
527354160,"(42.0525554028463, -93.6355961810786)"
528435040,"(42.054149095181536, -93.64371993188)"
534129230,"(42.04817947474747, -93.630294)"
535325350,"(42.038378, -93.61280176470588)"
902408080,"(42.02619203943843, -93.60864389206752)"
916455050,"(41.99703640663635, -93.64683644623203)"
909276200,"(42.01867749991436, -93.64234020531468)"
534277060,"(42.044865, -93.621618)"
905107280,"(42.03134156628693, -93.67289230477071)"
923204050,"(41.99297998782015, -93.60554288541539)"
531376050,"(42.03758888668608, -93.69114010099126)"
903454010,0
906412010,"(42.02745662663366, -93.68705983880326)"
535301060,"(42.041233315036166, -93.61727799531303)"
534453080,"(42.03602586446804, -93.62847008877344)"
911102180,"(42.021476657417224, -93.6168112727172)"
535403210,"(42.038482504829126, -93.60890513399805)"
531382120,"(42.03586988976251, -93.68915891193907)"
916455120,"(41.99551603030303, -93.6469074949495)"
905475510,"(42.025082734693875, -93.6633366122449)"
916326090,"(42.00072925266047, -93.64966625676165)"
909101140,"(42.022083404893664, -93.65586234297449)"
907260050,"(42.016945472759005, -93.68795145142214)"
907131090,"(42.020881, -93.690581)"
903206160,"(42.0307129108596, -93.62732297324361)"
528222020,"(42.06165534795861, -93.64400952242133)"
526352090,"(42.05145469964584, -93.61846427481623)"
534201280,"(42.04574050623812, -93.62654775999262)"
908102330,"(42.020343414141415, -93.67639185858586)"
906385010,"(42.0246183061451, -93.69300767485137)"
534276230,"(42.04224059534753, -93.62228029253552)"
906420020,"(42.02933283335287, -93.6820322145353)"
527404120,"(42.053514279505634, -93.62714799845187)"
907192010,"(42.016892, -93.689424)"
527131030,"(42.06221430156738, -93.63419894544032)"
527452290,"(42.04895500520409, -93.62913307832436)"
907250030,"(42.01855820993013, -93.68789159060451)"
909251040,"(42.01788108163265, -93.64693432653061)"
535377100,"(42.037159122448976, -93.61220516326532)"
528174050,"(42.05923777869763, -93.64939269814306)"
533128090,0
533250110,"(42.04482523153892, -93.64810611298782)"
908186040,"(42.018954981210804, -93.66884622557987)"
903231050,"(42.0323832020202, -93.6236834040404)"
908152110,"(42.01879497674418, -93.67513790697674)"
535476110,"(42.03797473457034, -93.6039140588975)"
533250050,"(42.04474817188798, -93.64791854964817)"
535325340,"(42.038378, -93.61274980392156)"
909475050,"(42.01119537789834, -93.64359939425104)"
907196020,"(42.016904971498526, -93.68856952271435)"
533130160,"(42.04577395463849, -93.65232379747752)"
535102010,"(42.04888004672891, -93.61700179201883)"
531475220,"(42.035663809096576, -93.68392168757799)"
527325070,"(42.054547400000004, -93.63530666666668)"
911175440,"(42.019100407352354, -93.61476988525514)"
903226160,"(42.03363191836735, -93.6245344897959)"
902134100,"(42.03025391265237, -93.61426001934532)"
902111010,"(42.031192483150555, -93.61581118310563)"
535381040,"(42.03476542857143, -93.61408520408163)"
910202060,"(42.0226691058526, -93.62532593181547)"
535477180,"(42.03487444444444, -93.60366755555556)"
528429120,0
908127050,"(42.021015163265304, -93.67148908163266)"
528439010,"(42.05320373339322, -93.64314439766459)"
906223110,"(42.03165394178435, -93.68201150262026)"
528358010,"(42.05142939902178, -93.65514834748906)"
532378160,"(42.034588484848484, -93.66994189898989)"
531450040,"(42.037328774081566, -93.6878976855827)"
527326040,"(42.055129455191484, -93.63508069267212)"
903204095,"(42.03348381632653, -93.62577067346939)"
527182170,0
905105040,"(42.03108467910268, -93.67588045842474)"
528477020,"(42.052302992576074, -93.64365697352228)"
905202210,"(42.03214923147222, -93.66717891980687)"
903425190,"(42.026954661556644, -93.62286472313643)"
535150210,"(42.04218612244898, -93.61728436734694)"
535453160,"(42.036146841115006, -93.60671839298679)"
535353130,"(42.034562891030866, -93.61907956662775)"
535456070,"(42.03473895918367, -93.6077650612245)"
908250090,"(42.01805245, -93.66655328915087)"
527452070,"(42.050471, -93.627279)"
902325100,"(42.02906930612245, -93.61532728571427)"
921126030,"(41.99220133684465, -93.65334056596954)"
905401060,"(42.02864482351206, -93.66624914356966)"
916402125,"(41.99958722865255, -93.64609469150162)"
531452010,"(42.03465549651289, -93.68622907491604)"
528363070,"(42.051655, -93.653742)"
533208090,"(42.04772986946443, -93.64603878546191)"
534401130,"(42.0392109, -93.6294784)"
910203230,"(42.0208634872324, -93.62945981841197)"
907420090,"(42.01428485970911, -93.68382685513305)"
902303100,"(42.02795584333695, -93.6186268970768)"
906392120,"(42.02326647986106, -93.68911880614316)"
903484080,"(42.02295797959184, -93.62398130612245)"
527301320,"(42.05361420021923, -93.63735972351776)"
527140090,"(42.06055687660365, -93.63422767405338)"
909428170,"(42.01264838383838, -93.64039073737374)"
905228050,"(42.032688, -93.659392)"
533234020,"(42.04661079961037, -93.64350378515023)"
533212100,"(42.04749027140474, -93.64492734127276)"
534475185,"(42.03475926805175, -93.62560211863473)"
905452150,"(42.0258097972012, -93.66607205192382)"
528176010,"(42.05735590330952, -93.65612294798628)"
535450160,"(42.035835, -93.609088)"
533215040,"(42.04654737280063, -93.64690805338492)"
528104010,"(42.063149387238916, -93.65417937402002)"
535325090,"(42.0400426, -93.61245539999999)"
909250210,"(42.018795670013375, -93.64838541912323)"
527325110,"(42.055141, -93.633802)"
910202030,"(42.0227918367347, -93.62548479591837)"
535175180,"(42.04484653880461, -93.61509322351316)"
534202160,"(42.046580774503724, -93.62633287305052)"
916403020,"(41.9980307755102, -93.64656387755102)"
535354100,"(42.03484223074918, -93.61721855921348)"
905227050,"(42.033383, -93.660485)"
534451020,"(42.03605240841249, -93.62874606568023)"
533120030,"(42.04741032017221, -93.65330321505161)"
905352010,0
905108220,"(42.03156251472419, -93.67123417821566)"
527165170,"(42.057411971538116, -93.63599502545436)"
535353190,"(42.03586727206577, -93.62030063844821)"
528315070,"(42.0540636125256, -93.6550738827899)"
903232060,"(42.032363181818184, -93.62260554545455)"
906204180,"(42.033189328297496, -93.68363058276195)"
906475110,"(42.024522800247645, -93.68225547575491)"
906223040,"(42.03417035507626, -93.68164962467063)"
909253190,"(42.0167937755102, -93.64838363265305)"
923400150,"(41.986502525252526, -93.60612031313131)"
923226290,"(41.992285539793606, -93.60323406682329)"
909282020,"(42.015826475536294, -93.6427680895134)"
528110110,"(42.062261083312976, -93.65697128723737)"
534479320,"(42.03736035134902, -93.62139680717897)"
528150110,"(42.05957007718205, -93.65788842723664)"
906380160,"(42.02462195659309, -93.69142847419396)"
911370460,"(42.009410175867174, -93.61543940059218)"
535477090,"(42.036550780194254, -93.6036697126137)"
534478230,"(42.03619649733313, -93.62245830908866)"
906426060,"(42.028262360054484, -93.68179635857511)"
528235190,"(42.06055030637491, -93.64365786824767)"
923225440,"(41.99197269387755, -93.60405887755103)"
923276030,"(41.98891501194138, -93.60371822707666)"
909425060,"(42.014630529934195, -93.64298118780833)"
902332030,"(42.02722873813198, -93.61222826161584)"
528188060,0
527105140,"(42.060855970275746, -93.64016214507029)"
535477150,"(42.036222982244986, -93.60366895117828)"
535327210,"(42.039464510204084, -93.61222924489796)"
533213070,"(42.047118766917635, -93.64634438338976)"
904100100,0
528188120,0
528480180,"(42.05138551893792, -93.64384909097967)"
528114040,"(42.06115061731414, -93.65702695245852)"
528235020,"(42.061163581911515, -93.64270906146292)"
908275110,"(42.0193813, -93.6644765)"
905103140,"(42.03229221822774, -93.67466926377168)"
902402260,"(42.029278208465776, -93.608717)"
528235200,"(42.060604411485215, -93.64364459718287)"
528181060,"(42.05841812593191, -93.65079925186382)"
923275200,"(41.988232259809486, -93.60435779961487)"
903451110,"(42.025507323779635, -93.62826987704071)"
528181040,"(42.05836446699423, -93.6507186503685)"
908102110,"(42.02116183673469, -93.6776827755102)"
533217050,"(42.04694863364057, -93.64577722964749)"
533350090,"(42.03744755908851, -93.6575664153229)"
528445070,"(42.0530273094722, -93.64446160496375)"
527212040,"(42.06057809473684, -93.62884491578947)"
907200270,"(42.02221155838693, -93.687930042606)"
908201040,"(42.022373232949136, -93.66488768470606)"
907410100,"(42.01426320254993, -93.68406640893436)"
903481120,0
535453180,"(42.03708595663889, -93.60675207316099)"
907227110,"(42.021695122448975, -93.68313389795918)"
531453010,"(42.034671747183744, -93.6849951387715)"
531478010,"(42.03577746938775, -93.68175228571428)"
535403200,"(42.03834740816327, -93.60874928571428)"
527254020,"(42.05985571428571, -93.62815914285714)"
527366030,"(42.05005399823367, -93.63933355890704)"
535325460,"(42.039330898860946, -93.6154373302759)"
528110040,"(42.0630493, -93.6559183)"
906392090,"(42.02387559248089, -93.68912167103053)"
535452140,"(42.03584051515152, -93.60777784848484)"
535151160,"(42.0430122, -93.6197207)"
535456050,0
903429110,"(42.028075545683585, -93.62147152372344)"
903429110,"(42.028075545683585, -93.62147152372344)"
916455150,"(41.99551248484848, -93.64710458585859)"
909425180,"(42.01339983344091, -93.64416302842115)"
528175050,"(42.05835251251395, -93.65027993616381)"
910205010,0
533206020,"(42.0477401256381, -93.64778782365163)"
902427040,"(42.0269485163718, -93.60483539747239)"
528427020,"(42.05577609900298, -93.64306737442054)"
528458070,"(42.051639578132374, -93.65047924923682)"
903401030,"(42.02818250412261, -93.62556728901467)"
909275040,"(42.02007290646511, -93.64316777904519)"
527163130,"(42.059275280267556, -93.63779041637262)"
905200350,"(42.03231091899866, -93.66686222837315)"
528363050,"(42.05073836734694, -93.65624463265306)"
908154205,0
903233140,"(42.031439636363636, -93.62236668686869)"
905107070,"(42.03220831608917, -93.67253772940806)"
528240020,"(42.061178285695185, -93.641526)"
906225180,"(42.03150314601391, -93.67996952877063)"
528114010,"(42.061187762936285, -93.65674167393466)"
907126030,"(42.02116749369187, -93.69218022846147)"
904100160,"(42.033505289394334, -93.65783559113645)"
909254130,"(42.01622585714286, -93.64491606122449)"
535403030,"(42.040139806766824, -93.61038558320043)"
907412010,"(42.01386324242424, -93.68529523232323)"
903228080,"(42.033347285714285, -93.6216614489796)"
531452100,"(42.035628790773586, -93.68623349496264)"
526302030,"(42.053668, -93.618459)"
902106090,"(42.03136811566622, -93.61886691410051)"
527161090,"(42.05897712282691, -93.640518123423)"
532353120,"(42.03478771651257, -93.67697466213608)"
535453070,"(42.03602821212121, -93.60600470707071)"
534252110,"(42.04316111859127, -93.62477456483307)"
535327230,"(42.039533285714285, -93.61222985714285)"
905425125,"(42.02839073708279, -93.6632647299644)"
908103280,"(42.02000134693878, -93.67378595918368)"
528221060,"(42.06273240393949, -93.6458435466242)"
921128020,"(41.992886874408, -93.65205791896162)"
528174040,"(42.05923104269617, -93.64942373186408)"
909256010,"(42.01599771428572, -93.64837885714286)"
533212060,"(42.047554433193056, -93.644926896477)"
908204180,"(42.0199462, -93.6653515)"
533223100,"(42.046223593854705, -93.64544340848364)"
909176180,"(42.01874163265306, -93.6516226122449)"
903475040,"(42.0267141023798, -93.62297073103441)"
535426195,"(42.039054300535824, -93.60570357400623)"
905103040,"(42.03237701034279, -93.67255115119521)"
528110100,"(42.0622601748447, -93.65708355877528)"
534431030,"(42.03919368684427, -93.6217385362576)"
905300010,"(42.02944714893617, -93.67829025531914)"
914474070,"(41.995241269011075, -93.6035056538022)"
534428100,"(42.040302797857635, -93.62214108540458)"
533350050,"(42.03728964083625, -93.65819855808627)"
908188130,"(42.01880522915272, -93.66972201765648)"
534453150,"(42.03574847468436, -93.62824103741373)"
528458120,"(42.0503128, -93.6481626)"
535179050,"(42.04396232081264, -93.61316938402076)"
527302185,"(42.055303816598176, -93.6364751856661)"
534128190,"(42.04649121414232, -93.63312312052932)"
528180110,"(42.05779497875085, -93.65146345283424)"
916176125,"(42.00149914254683, -93.64995508984912)"
903454090,0
535457010,"(42.03482142857143, -93.6059824897959)"
528462040,"(42.050214596203936, -93.64835153270799)"
909428120,"(42.01265586868687, -93.63955761616162)"
916460060,"(41.996394780494285, -93.64660354427207)"
528431050,"(42.0544825, -93.64259794157329)"
527110020,"(42.060674292874886, -93.63712424040322)"
535352080,"(42.037116510204086, -93.61595657142857)"
527402250,"(42.054583217391304, -93.62643386956522)"
535451040,"(42.03718187878788, -93.60799021212122)"
905452050,0
903225090,"(42.03342520408163, -93.62554691836735)"
531363010,"(42.03771545869594, -93.69140194782878)"
923205025,"(41.991206827994795, -93.60722957089274)"
532377060,"(42.03492614970521, -93.67217225423155)"
902109160,"(42.03053925526278, -93.62018697987196)"
902128075,"(42.03226914285714, -93.61400865306122)"
528178070,"(42.057185848985235, -93.65531279784706)"
903225160,"(42.03374326530612, -93.62556069387755)"
906380170,"(42.024622, -93.69135210215579)"
528174020,"(42.05922094551288, -93.64947028383989)"
910201110,"(42.022501592513066, -93.62691449706047)"
535325400,"(42.03849987878044, -93.61543984597746)"
535150070,"(42.04349289193036, -93.61986309021195)"
533254100,"(42.042245, -93.647022)"
533254130,"(42.043196, -93.645509)"
907194110,"(42.016516626222796, -93.69015542114965)"
531375100,"(42.03779751992414, -93.69060626586594)"
532477030,"(42.03748787855076, -93.6621167912013)"
534102025,"(42.04844622222222, -93.639552)"
905452160,"(42.02583595734114, -93.66607259932762)"
533208050,"(42.04769447845684, -93.64663943537053)"
905427030,"(42.0281873047507, -93.66086579008223)"
535301010,"(42.04199377551021, -93.61754234693878)"
909280030,"(42.0169293039374, -93.64118843764037)"
528116010,"(42.060779229751596, -93.65860293118872)"
528228270,"(42.06259555537441, -93.64189535276586)"
907252210,"(42.01885693993959, -93.68289296919987)"
909475020,"(42.011654, -93.643556)"
907253110,"(42.01869977841745, -93.68464309104452)"
535325280,"(42.03854471428571, -93.61243779591837)"
532378240,"(42.03489390322482, -93.67191825955149)"
908102260,"(42.019780850000004, -93.67746255838134)"
908226180,"(42.022556599869965, -93.66149567643896)"
527425060,"(42.056585, -93.6235075)"
527451540,"(42.051664262423486, -93.62988377943782)"
902128170,"(42.032449285714286, -93.61540881632654)"
903455090,0
535300120,0
910203250,"(42.02132716963949, -93.62946068188015)"
903228070,"(42.03334642857143, -93.62163181632653)"
527214060,"(42.06007471428571, -93.62771)"
527214060,"(42.06007471428571, -93.62771)"
528427010,"(42.055785141473585, -93.64301594536897)"
535451250,"(42.03720968686869, -93.60887713131314)"
908152270,"(42.01872699002386, -93.67328616654791)"
909452050,"(42.01052241853046, -93.6447411423989)"
532354160,"(42.034622285714285, -93.67426804081633)"
531453100,"(42.03568872714663, -93.68500228550349)"
527328050,"(42.05645099500372, -93.63156375802194)"
907418010,"(42.01492467356963, -93.6836697029367)"
528344020,"(42.05469307707867, -93.65649019435652)"
532353180,"(42.03514258197271, -93.67698065927453)"
902106070,"(42.03136939759234, -93.61873850783361)"
528221050,"(42.06281128732262, -93.64589910003518)"
534479300,"(42.037195530778, -93.62139599190822)"
906223060,"(42.03432683876907, -93.68163415616766)"
535105060,"(42.0472850574594, -93.61637686541748)"
528108040,"(42.062987, -93.65399520765304)"
909279010,"(42.01580493115075, -93.64382077985354)"
527183030,"(42.0610026, -93.6325959)"
527276160,"(42.056910619747676, -93.62394609055035)"
902207130,"(42.03047530489075, -93.60682804611989)"
903227020,"(42.03366324489796, -93.62263804081633)"
908203100,"(42.01961035, -93.66634920000001)"
534152120,"(42.043653874687614, -93.63785692655183)"
907290240,"(42.016272436436154, -93.6821187933657)"
528478030,"(42.05226690017801, -93.64060076646571)"
910201180,"(42.02259728571429, -93.62822157142857)"
533208140,"(42.047816063070826, -93.64598659483785)"
528166150,"(42.058640890740634, -93.65675772325477)"
905107140,"(42.03066861357932, -93.6720386563243)"
527180100,"(42.058339921875, -93.6343910625)"
528458080,"(42.05163832289438, -93.65049833931467)"
905101450,"(42.033396918367345, -93.67536573469388)"
914460110,"(41.996211194217395, -93.60711752442691)"
534400290,"(42.03835418428905, -93.62832041301807)"
907254020,"(42.017735289970865, -93.68445533701973)"
528458030,"(42.051644599084355, -93.65040288892547)"
528480060,"(42.05217516802972, -93.6424376975465)"
905226050,"(42.03338, -93.660706)"
528253010,"(42.05862311726372, -93.65081086931556)"
528228345,"(42.063341906833216, -93.64031889686983)"
527425140,"(42.05663491840557, -93.62176390413987)"
907135020,"(42.01988740650545, -93.692729)"
533206040,"(42.047505, -93.647671)"
535181140,"(42.04313344897959, -93.61226375510203)"
902427045,"(42.026947690553214, -93.60479012759878)"
527405130,"(42.05328469387755, -93.62721524489797)"
528431040,"(42.05553094484571, -93.64282399104837)"
527450210,"(42.0525671934726, -93.62765172237602)"
532378200,"(42.03459803030303, -93.67086053535353)"
909278020,"(42.0168864, -93.644184)"
534225110,"(42.04764304782165, -93.62458843657075)"
909451130,0
528142020,"(42.06043498193772, -93.65414661216343)"
527404030,"(42.055185353622385, -93.6267052291767)"
527162180,"(42.05879290415915, -93.63903218111881)"
534151180,"(42.04311905624381, -93.63698612936075)"
908204090,"(42.018681900000004, -93.6663829759606)"
532354070,"(42.03586555102041, -93.67407142857142)"
527302070,"(42.05455169737027, -93.63779464883544)"
527214030,"(42.060110571428574, -93.627926)"
533128030,0
902330010,"(42.028892633438076, -93.61086585885806)"
923228150,"(41.9925693, -93.6021357)"
527302080,"(42.054501, -93.637788)"
528344040,"(42.05478216459611, -93.65666229524248)"
535403040,"(42.04013764071213, -93.61031392353992)"
535375050,"(42.037295428571426, -93.6140802857143)"
535376060,"(42.0372426122449, -93.61242581632654)"
924151040,"(41.989745529068436, -93.59996872621437)"
528186160,0
532351150,"(42.03637796697601, -93.677257350006)"
905105010,"(42.03121063779482, -93.67573680093105)"
527452310,"(42.04895463333342, -93.62924181330851)"
909250200,"(42.01875678168227, -93.64838682231043)"
905101300,"(42.033392602944204, -93.67123834844583)"
902329080,"(42.02804460246242, -93.61253632831034)"
903225140,"(42.03363724489796, -93.62555610204082)"
533215080,"(42.046855163194245, -93.64676784057455)"
534452060,"(42.034683, -93.627695)"
532476050,"(42.037211, -93.660602)"
909428110,"(42.01358365513965, -93.63960454399896)"
528170040,"(42.05852329023244, -93.65218318239246)"
533110130,"(42.04575280062971, -93.65387228156985)"
921205030,"(41.993253, -93.64787321806948)"
923203090,"(41.99306538458213, -93.60816367708647)"
535104120,"(42.04818346460969, -93.61800109327203)"
528366070,"(42.04950416439778, -93.65311839997617)"
902205010,0
923204040,"(41.99317600351737, -93.60623275724798)"
535378080,"(42.035826, -93.615429)"
533251130,"(42.044755845575516, -93.64596875881587)"
528235130,"(42.0602303, -93.6439316)"
903226130,"(42.03350432653061, -93.62453204081632)"
903235020,"(42.03118540718059, -93.62385053019987)"
527425110,"(42.0566141520629, -93.6222984445571)"
902327070,"(42.02912002366332, -93.61062325031136)"
903425270,"(42.02708642718712, -93.6252466759807)"
534127230,"(42.04894545931406, -93.63454246820592)"
914478100,"(41.994447, -93.6015207)"
535301150,"(42.040859204081634, -93.61844169387756)"
903225150,"(42.03367965306122, -93.62555793877551)"
527402220,"(42.05470832653061, -93.62648085714287)"
904351240,"(42.02304640816327, -93.65834769387754)"
535452090,"(42.03611175102567, -93.60694141044607)"
528108020,"(42.062985606756705, -93.6541551783833)"
528427070,"(42.055764769960014, -93.6439890703599)"
902125020,"(42.033675714285714, -93.61405285714285)"
910201050,"(42.022788142857145, -93.6271091632653)"
527425090,"(42.05661342218788, -93.62231982989509)"
909277100,"(42.01764715939968, -93.63973588049143)"
531452070,"(42.03552981169623, -93.68623304546638)"
528387050,"(42.05042086269845, -93.65175955183147)"
905480240,"(42.02284059853292, -93.66017316218903)"
535476350,"(42.036844606060605, -93.60480541414141)"
527258010,0
906394060,"(42.023161639829276, -93.688895)"
909282030,"(42.015873, -93.642674)"
905225040,"(42.03378981113612, -93.66217073409716)"
908275130,"(42.0197906, -93.664509)"
527226040,"(42.06149796826403, -93.6236312079561)"
903458110,"(42.02295687755102, -93.62546034693877)"
535425080,"(42.04078546204856, -93.60656958697224)"
907201220,"(42.020059778607575, -93.68718591763705)"
903426160,"(42.02911295918368, -93.62171457142857)"
905478140,"(42.023976828047495, -93.65858202077327)"
906475070,"(42.02469308728671, -93.6820369359333)"
907414070,"(42.013988545454545, -93.68642327272727)"
914476050,"(41.996899895960425, -93.60299219600131)"
923251180,"(41.987693343434344, -93.60636698989899)"
528235090,"(42.059454259012924, -93.64319327177769)"
527355150,"(42.05291513617854, -93.63375536933796)"
527454130,"(42.05011223963888, -93.62586720306223)"
533215020,"(42.04653480740365, -93.64691694110473)"
526302120,"(42.05285252734815, -93.61867770937495)"
532378220,"(42.03476522873856, -93.67190502706886)"
907420110,"(42.01422385807604, -93.68385112913928)"
527354100,"(42.05291637350058, -93.63398195443641)"
535404080,"(42.03841749102241, -93.60912559182812)"
906223090,"(42.03179401991904, -93.68201466761519)"
527450080,"(42.05260930263202, -93.62917921696385)"
905352030,0
923275040,"(41.988754497238666, -93.60495553528983)"
906477110,"(42.02423292307692, -93.68243961538462)"
908103310,"(42.020201, -93.675132)"
531477040,"(42.03611733333334, -93.67890566666667)"
534176230,"(42.043777478580154, -93.63251732040536)"
907187060,"(42.017738, -93.689654)"
528385050,"(42.05169484456146, -93.65313168385707)"
908204160,"(42.0195893, -93.6654029)"
924100020,"(41.99082077407747, -93.60022157484228)"
902477120,0
907401080,"(42.01511921212121, -93.68786538383839)"
528108120,"(42.062271, -93.65528589647255)"
916403230,"(41.99920531082715, -93.64408742095493)"
903236040,"(42.03119946938776, -93.62063910204083)"
903475060,"(42.025981634565824, -93.62218509239744)"
527302090,"(42.054475, -93.637326)"
923230120,"(41.99123401860321, -93.60243061324627)"
534403420,"(42.04126429351552, -93.62754452265993)"
902304060,0
1007100110,"(42.022639997811986, -93.58045967954692)"
907290090,"(42.016954285714284, -93.68117685714286)"
907203090,"(42.021225, -93.684411)"
905102060,"(42.033241419293034, -93.67282384824915)"
907275150,"(42.018887888561366, -93.68015010535223)"
535152150,"(42.04291583082946, -93.61760893209153)"
528365090,"(42.04969847336652, -93.65379020401356)"
910200080,"(42.02253369387755, -93.62844153061225)"
923225080,"(41.992492403615074, -93.60530083890698)"
906402200,"(42.02991, -93.683221)"
921128050,"(41.993090368244026, -93.65077168001568)"
909250160,"(42.018046346938775, -93.6469003877551)"
908225170,"(42.02011791418733, -93.66201652254809)"
906380060,"(42.02587218003842, -93.68961370743756)"
527175130,"(42.05659525375694, -93.63278756748916)"
528480110,"(42.05142301513821, -93.64265836776028)"
528150070,"(42.060462, -93.655516)"
923400040,"(41.986498, -93.608125)"
910205020,"(42.021477530612245, -93.6253292244898)"
