PID,SalePrice,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Pool,PorchArea,TotalBath
526352090,167000,20,85.0,10628,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,7,5,1970,1970,Flat,Tar&Grv,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,GasA,TA,Y,SBrkr,1277,0,0,2,1,TA,5,Typ,1,Po,Attchd,Unf,2.0,526.0,TA,TA,Y,0,None,GdWo,None,0,4,2007,WD ,Normal,No,176,2.0
526353030,244000,20,93.0,11160,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,7,5,1968,1968,Hip,CompShg,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,1065.0,Unf,0.0,1045.0,GasA,Ex,Y,SBrkr,2110,0,0,3,1,Ex,8,Typ,2,TA,Attchd,Fin,2.0,522.0,TA,TA,Y,0,None,None,None,0,4,2010,WD ,Normal,No,0,3.5
526353050,237500,20,73.0,12925,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,6,7,1970,1970,Gable,CompShg,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,865.0,Unf,0.0,340.0,GasA,Ex,Y,SBrkr,2117,0,0,4,1,TA,7,Typ,2,Gd,Attchd,Fin,2.0,550.0,TA,TA,Y,0,None,None,None,0,5,2008,WD ,Normal,No,42,2.5
526354020,192100,20,90.0,11727,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,7,6,1969,1969,Gable,CompShg,HdBoard,BrkFace,434.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,1851.0,GasA,Gd,Y,SBrkr,1851,0,0,3,1,TA,8,Typ,1,TA,Attchd,Fin,2.0,506.0,TA,TA,Y,0,None,None,None,0,3,2006,WD ,Normal,No,146,2.0
526354070,206900,60,85.0,11075,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,6,5,1969,1969,Gable,CompShg,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,Mn,ALQ,500.0,LwQ,276.0,176.0,GasA,TA,Y,SBrkr,1092,1020,0,4,1,TA,9,Typ,2,Gd,Attchd,Unf,2.0,576.0,TA,TA,Y,280,None,None,None,0,6,2008,WD ,Normal,No,0,2.5
526355080,345000,80,75.0,13860,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,8,7,1972,1995,Gable,CompShg,Plywood,None,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1410.0,Unf,0.0,542.0,GasA,Gd,Y,SBrkr,2000,704,0,4,1,Ex,9,Typ,3,TA,Attchd,Fin,2.0,538.0,TA,TA,Y,269,None,MnPrv,None,0,7,2009,WD ,Normal,No,111,3.5
526355170,244000,20,95.0,13651,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,7,6,1973,1973,Gable,CompShg,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880.0,Unf,0.0,343.0,GasA,Ex,Y,SBrkr,2223,0,0,3,1,TA,8,Typ,2,Gd,Attchd,Fin,2.0,516.0,TA,TA,Y,300,None,None,None,0,2,2007,WD ,Normal,No,0,3.0
526355190,268000,20,95.0,15865,Pave,None,IR1,Lvl,AllPub,Inside,Mod,NAmes,Norm,8,6,1970,1970,Flat,Tar&Grv,Wd Sdng,None,0.0,Gd,Gd,PConc,TA,Gd,Gd,ALQ,351.0,Rec,823.0,1043.0,GasA,Ex,Y,SBrkr,2217,0,0,4,1,Gd,8,Typ,1,TA,Attchd,Unf,2.0,621.0,TA,TA,Y,81,None,None,None,0,10,2007,WD ,Normal,No,431,3.0
527105010,189900,60,74.0,13830,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,5,5,1997,1998,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,GasA,Gd,Y,SBrkr,928,701,0,3,1,TA,6,Typ,1,TA,Attchd,Fin,2.0,482.0,TA,TA,Y,212,None,MnPrv,None,0,3,2010,WD ,Normal,No,34,2.5
527105030,195500,60,78.0,9978,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,6,1998,1998,Gable,CompShg,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,GasA,Ex,Y,SBrkr,926,678,0,3,1,Gd,7,Typ,1,Gd,Attchd,Fin,2.0,470.0,TA,TA,Y,360,None,None,None,0,6,2010,WD ,Normal,No,36,2.5
527105050,187500,60,72.0,8702,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1997,1998,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,706.0,Unf,0.0,220.0,GasA,Ex,Y,SBrkr,926,678,0,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,470.0,TA,TA,Y,0,None,None,None,0,4,2008,WD ,Normal,No,36,2.5
527105060,183500,60,60.0,8238,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1997,1998,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,700.0,Unf,0.0,113.0,GasA,Ex,Y,SBrkr,813,712,0,3,1,TA,6,Typ,1,TA,Attchd,Fin,2.0,400.0,TA,TA,Y,421,None,None,None,0,5,2006,WD ,Normal,No,72,3.5
527105070,189500,60,88.0,10179,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,6,5,1997,1997,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,847.0,Unf,0.0,98.0,GasA,Ex,Y,SBrkr,945,663,0,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,470.0,TA,TA,Y,252,None,None,None,0,7,2009,WD ,Normal,No,30,2.5
527105130,270000,60,63.0,11792,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,8,5,2003,2003,Gable,CompShg,VinylSd,BrkFace,188.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,850.0,Unf,0.0,158.0,GasA,Ex,Y,SBrkr,1008,1275,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3.0,632.0,TA,TA,Y,120,None,None,None,0,8,2009,WD ,Normal,No,46,2.5
527105140,225000,60,63.0,12394,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,7,5,2003,2003,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,3,1,Gd,7,Typ,1,Gd,BuiltIn,Fin,2.0,433.0,TA,TA,Y,100,None,None,None,0,10,2007,WD ,Family,No,48,2.5
527106010,222000,60,63.0,13006,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,7,5,1997,1997,Gable,CompShg,HdBoard,BrkFace,285.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,964.0,GasA,Gd,Y,SBrkr,993,1243,0,4,1,Gd,8,Typ,1,TA,BuiltIn,Fin,2.0,642.0,TA,TA,Y,0,None,None,None,0,11,2006,WD ,Normal,No,0,2.5
527106050,165000,60,65.0,8139,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1995,1996,Gable,CompShg,VinylSd,BrkFace,119.0,TA,TA,PConc,Gd,TA,No,ALQ,476.0,Unf,0.0,204.0,GasA,Gd,Y,SBrkr,680,790,0,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,420.0,TA,TA,Y,192,None,None,None,0,10,2008,WD ,Normal,No,49,2.5
527106140,195500,60,59.0,9535,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1998,1998,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,851.0,Unf,0.0,75.0,GasA,Ex,Y,SBrkr,926,678,0,3,1,TA,7,Typ,0,None,Attchd,Fin,2.0,472.0,TA,TA,Y,100,None,None,None,0,5,2008,WD ,Normal,No,82,2.5
527106150,192000,60,59.0,9042,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1998,1998,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,828.0,Unf,0.0,115.0,GasA,Gd,Y,SBrkr,943,695,0,3,1,TA,7,Typ,2,TA,Attchd,Fin,2.0,472.0,TA,TA,Y,100,None,None,None,0,7,2008,WD ,Normal,No,38,3.5
527107010,173000,60,63.0,15038,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,6,5,1996,1996,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,138.0,Unf,0.0,778.0,GasA,Gd,Y,SBrkr,916,720,0,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,386.0,TA,TA,Y,168,None,None,None,0,11,2008,WD ,Normal,No,84,2.5
527107020,170000,60,63.0,13041,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1995,1995,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,781.0,GasA,Gd,Y,SBrkr,781,890,0,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,423.0,TA,TA,Y,0,None,None,None,0,2,2006,WD ,Normal,No,84,2.5
527107030,187500,60,63.0,13031,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,6,5,1995,1996,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,592.0,Unf,0.0,99.0,GasA,Gd,Y,SBrkr,691,807,0,3,1,TA,6,Typ,1,TA,Attchd,Fin,2.0,409.0,TA,TA,Y,315,None,None,None,0,7,2006,WD ,Normal,No,44,2.5
527107040,168000,60,63.0,10364,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1995,1996,Gable,CompShg,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,806.0,GasA,Gd,Y,SBrkr,806,766,0,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,373.0,TA,TA,Y,0,None,None,None,0,5,2007,WD ,Normal,No,40,2.5
527107090,177900,20,53.0,14137,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,5,5,1996,1997,Gable,CompShg,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,450.0,Unf,0.0,898.0,GasA,Gd,Y,SBrkr,1384,0,0,3,1,Gd,7,Typ,0,None,Attchd,Unf,2.0,404.0,TA,TA,Y,0,None,None,None,0,11,2008,WD ,Normal,No,39,3.0
527107120,202000,60,54.0,9783,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1996,1996,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,821.0,GasA,Gd,Y,SBrkr,821,955,0,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,443.0,TA,TA,Y,286,None,None,None,0,5,2006,WD ,Normal,No,116,2.5
527107130,189000,80,60.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,7,5,1996,1997,Gable,CompShg,HdBoard,BrkFace,32.0,TA,TA,PConc,Gd,TA,No,GLQ,284.0,Unf,0.0,100.0,GasA,Gd,Y,SBrkr,958,670,0,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,390.0,TA,TA,Y,48,None,None,Shed,490,6,2009,WD ,Normal,No,72,2.5
527107210,175000,60,57.0,21872,Pave,None,IR2,HLS,AllPub,FR2,Gtl,Gilbert,Norm,7,5,1996,1997,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,604.0,Unf,0.0,125.0,GasA,Ex,Y,SBrkr,729,717,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,406.0,TA,TA,Y,264,None,None,None,0,8,2008,WD ,Normal,No,22,3.0
527107240,185000,60,70.0,11207,Pave,None,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,6,5,1997,1997,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,714.0,Unf,0.0,88.0,GasA,Gd,Y,SBrkr,802,709,0,3,1,TA,8,Typ,1,TA,Attchd,Fin,2.0,413.0,TA,TA,Y,95,None,None,None,0,6,2006,WD ,Normal,No,75,3.5
527108030,250000,60,50.0,13128,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,8,5,2005,2005,Gable,CompShg,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1074.0,GasA,Ex,Y,SBrkr,1074,990,0,4,1,Gd,7,Typ,1,Gd,Attchd,Fin,2.0,527.0,TA,TA,Y,0,None,None,None,0,1,2006,WD ,Normal,No,119,2.5
527108040,239900,60,72.0,10463,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,8,5,2005,2005,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,893.0,GasA,Ex,Y,SBrkr,901,900,0,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,3.0,800.0,TA,TA,Y,0,None,None,None,0,6,2006,WD ,Normal,No,116,2.5
527108060,309000,60,42.0,13751,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,7,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,248.0,Gd,TA,PConc,Gd,TA,Av,GLQ,60.0,Unf,0.0,1640.0,GasA,Ex,Y,SBrkr,1700,512,0,3,1,Gd,9,Typ,1,Gd,Attchd,Fin,3.0,773.0,TA,TA,Y,237,None,None,None,0,5,2006,New,Partial,No,153,3.5
527108070,377500,20,42.0,14892,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,9,5,2006,2007,Gable,CompShg,VinylSd,Stone,160.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1320.0,Unf,0.0,426.0,GasA,Ex,Y,SBrkr,1746,0,0,3,1,Ex,7,Typ,2,Gd,Attchd,Fin,3.0,758.0,TA,TA,Y,201,None,None,None,0,10,2009,WD ,Normal,No,39,3.0
527108090,274725,60,168.0,23257,Pave,None,IR3,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,7,5,2006,2006,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,No,Unf,0.0,Unf,0.0,868.0,GasA,Ex,Y,SBrkr,887,1134,0,3,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,2.0,422.0,TA,TA,Y,0,None,None,None,0,9,2006,New,Partial,No,100,2.5
527110020,168500,80,63.0,8530,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,7,5,1995,1996,Gable,CompShg,HdBoard,BrkFace,22.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,GasA,Gd,Y,SBrkr,804,670,0,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,400.0,TA,TA,Y,120,None,None,Shed,700,5,2009,WD ,Normal,No,72,2.5
527110080,177000,60,63.0,13869,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,6,6,1997,1997,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182.0,Unf,0.0,612.0,GasA,Gd,Y,SBrkr,794,676,0,3,1,TA,6,Typ,0,None,Attchd,Fin,2.0,388.0,TA,TA,Y,0,None,None,None,0,7,2007,WD ,Normal,No,75,2.5
527110120,169000,60,57.0,8773,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1997,1997,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,916.0,GasA,Gd,Y,SBrkr,916,684,0,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,460.0,TA,TA,Y,100,None,None,None,0,8,2007,WD ,Normal,No,38,2.5
527110130,161500,80,56.0,8872,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,6,5,1997,1997,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,GasA,Gd,Y,SBrkr,754,630,0,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,390.0,TA,TA,Y,0,None,None,None,0,3,2007,WD ,Normal,No,0,2.5
527126030,251000,120,41.0,5330,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,8,5,2000,2000,Gable,CompShg,CemntBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1196.0,Unf,0.0,298.0,GasA,Ex,Y,SBrkr,1652,0,0,2,1,Ex,6,Typ,0,None,Attchd,RFn,2.0,499.0,TA,TA,Y,96,None,None,None,0,8,2007,WD ,Normal,No,48,3.0
527127100,375000,120,28.0,7296,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,8,5,2004,2005,Gable,CompShg,CemntBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1965.0,Unf,0.0,243.0,GasA,Ex,Y,SBrkr,2522,0,0,1,1,Gd,8,Typ,1,Gd,Attchd,Fin,2.0,564.0,TA,TA,Y,182,None,None,None,0,11,2009,WD ,Normal,No,57,3.0
527127140,286000,120,41.0,4923,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,8,5,2001,2002,Gable,CompShg,CemntBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153.0,Unf,0.0,440.0,GasA,Ex,Y,SBrkr,1593,0,0,0,1,Ex,5,Typ,1,Gd,Attchd,Fin,2.0,682.0,TA,TA,Y,0,None,None,None,0,8,2008,WD ,Normal,No,344,2.5
527127150,213500,120,41.0,4920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,8,5,2001,2001,Gable,CompShg,CemntBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616.0,Unf,0.0,722.0,GasA,Ex,Y,SBrkr,1338,0,0,2,1,Gd,6,Typ,0,None,Attchd,Fin,2.0,582.0,TA,TA,Y,0,None,None,None,0,4,2010,WD ,Normal,No,170,3.0
527131030,278000,120,40.0,5664,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,8,5,2000,2000,Gable,CompShg,CemntBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,GasA,Ex,Y,SBrkr,1659,0,0,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,None,None,None,0,10,2009,WD ,Normal,No,59,3.0
527131110,247900,120,45.0,6264,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,8,5,1997,1997,Gable,CompShg,CemntBd,None,0.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,656.0,Unf,0.0,1008.0,GasA,Ex,Y,SBrkr,1682,0,0,1,1,Gd,6,Min1,1,TA,Attchd,Fin,2.0,528.0,TA,TA,Y,0,None,None,None,0,7,2008,WD ,Normal,No,0,2.5
527132090,240000,120,61.0,7380,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,8,5,1998,1998,Gable,CompShg,CemntBd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,341.0,Unf,0.0,1077.0,GasA,Ex,Y,SBrkr,1478,0,0,2,1,TA,5,Typ,0,None,Attchd,Fin,2.0,495.0,TA,TA,Y,168,None,None,None,0,7,2009,WD ,Normal,No,43,3.0
527140090,180000,120,41.0,5395,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,8,5,1993,1993,Gable,CompShg,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,733.0,Unf,0.0,604.0,GasA,Gd,Y,SBrkr,1337,0,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2.0,462.0,TA,TA,Y,96,None,None,None,0,10,2008,WD ,Normal,No,238,3.0
527145080,191500,120,43.0,5005,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,8,5,1992,1992,Gable,CompShg,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,1017.0,GasA,Ex,Y,SBrkr,1280,0,0,2,1,Gd,5,Typ,0,None,Attchd,RFn,2.0,506.0,TA,TA,Y,0,None,None,None,0,1,2010,WD ,Normal,No,226,2.0
527145090,180000,120,39.0,5070,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,8,5,1992,1992,Gable,CompShg,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,1280.0,GasA,Ex,Y,SBrkr,1280,0,0,2,1,Gd,5,Typ,0,None,Attchd,RFn,2.0,506.0,TA,TA,Y,0,None,None,None,0,8,2008,WD ,Normal,No,226,2.0
