PID,AllBathAbv,AllBathBsmt,BsmtCond,BsmtUnfSF,CentralAir,ExterQual,FireplaceQu,Foundation,GarageCars,GarageQual,GoodLivArea,HasPool,HeatingQC,KitchenQual,MSSubClass,Neighborhood,PavedDrive,PorchArea,SalePrice,YearBuilt
527107120,2.5,0.0,2,821.0,1,2,2,6,2.0,2,1776.0,0,3,2,6,8,1,402,202000,1996
527107130,2.5,0.0,2,100.0,1,2,2,6,2.0,2,1912.0,0,3,2,3,8,1,120,189000,1996
527107210,2.5,0.5,2,125.0,1,2,2,6,2.0,2,2050.0,0,4,2,6,8,1,286,175000,1996
527107240,2.5,1.0,2,88.0,1,2,2,6,2.0,2,2225.0,0,3,2,6,8,1,170,185000,1997
527108030,2.5,0.0,2,1074.0,1,3,3,6,2.0,2,2064.0,0,4,3,6,8,1,119,250000,2005
527108040,2.5,0.0,2,893.0,1,3,3,6,3.0,2,1801.0,0,4,3,6,8,1,116,239900,2005
527108060,2.5,1.0,2,1640.0,1,3,3,6,3.0,2,2272.0,0,4,3,6,8,1,390,309000,2005
527108070,2.0,1.0,2,426.0,1,4,3,6,3.0,2,3066.0,0,4,4,5,8,1,240,377500,2006
527108090,2.5,0.0,3,868.0,1,3,3,6,2.0,2,2021.0,0,4,3,6,8,1,100,274725,2006
527110020,2.5,0.0,2,384.0,1,2,2,6,2.0,2,1474.0,0,3,2,3,8,1,192,168500,1995
527110080,2.0,0.5,2,612.0,1,2,0,6,2.0,2,1652.0,0,3,2,6,8,1,75,177000,1997
527110120,2.5,0.0,2,916.0,1,2,2,6,2.0,2,1600.0,0,3,2,6,8,1,138,169000,1997
527110130,2.5,0.0,2,384.0,1,2,2,6,2.0,2,1384.0,0,3,2,3,8,1,0,161500,1997
527126030,2.0,1.0,2,298.0,1,3,0,6,2.0,2,2848.0,0,4,4,4,25,1,144,251000,2000
527127100,2.0,1.0,2,243.0,1,3,3,6,2.0,2,4487.0,0,4,3,4,25,1,239,375000,2004
527127140,1.5,1.0,2,440.0,1,3,3,6,2.0,2,2746.0,0,4,4,4,25,1,344,286000,2001
527127150,2.0,1.0,2,722.0,1,3,0,6,2.0,2,1954.0,0,4,3,4,25,1,170,213500,2001
527131030,2.0,1.0,2,343.0,1,3,4,6,2.0,2,2817.0,0,4,4,4,25,1,271,278000,2000
527131110,1.5,1.0,2,1008.0,1,3,2,6,2.0,2,2338.0,0,4,3,4,25,1,0,247900,1997
527132090,2.0,1.0,2,1077.0,1,2,0,6,2.0,2,1819.0,0,4,2,4,25,1,211,240000,1998
527140090,2.0,1.0,2,604.0,1,3,2,6,2.0,2,2070.0,0,3,3,4,25,1,334,180000,1993
527145080,2.0,0.0,2,1017.0,1,3,0,6,2.0,2,1543.0,0,4,3,4,25,1,226,191500,1992
527145090,2.0,0.0,2,1280.0,1,3,0,6,2.0,2,1280.0,0,4,3,4,25,1,226,180000,1992
527146010,2.0,1.0,2,846.0,1,3,0,6,2.0,2,2475.0,0,4,3,4,25,1,102,239500,1995
527146030,2.0,1.0,2,415.0,1,3,2,6,2.0,2,2796.0,0,4,3,4,25,1,389,236500,1995
527146135,2.5,0.0,2,2062.0,1,3,0,6,2.0,2,2687.0,0,4,3,2,25,1,180,270000,1994
527158020,2.0,0.5,2,455.0,1,2,2,6,2.0,2,1874.0,0,3,2,5,8,1,170,183500,1993
527158090,2.5,0.0,2,206.0,1,2,2,6,2.0,2,1880.0,0,3,2,3,8,1,320,160000,1994
527161010,2.5,0.0,2,926.0,1,2,2,6,2.0,2,1604.0,0,4,2,6,8,1,36,181000,1997
527161040,2.5,0.0,2,195.0,1,3,2,6,2.0,2,1571.0,0,3,2,3,8,1,256,177500,1998
527161090,2.5,1.0,2,52.0,1,2,2,6,2.0,2,2585.0,0,3,2,6,8,1,304,180000,1999
527162080,2.5,0.0,2,277.0,1,3,0,6,2.0,2,1967.0,0,3,3,6,8,1,44,178750,1996
527162090,2.0,0.0,3,1237.0,1,2,2,6,2.0,2,1253.0,0,3,2,5,8,1,241,176000,1995
527162110,2.5,0.0,2,832.0,1,2,2,6,2.0,2,1718.0,0,3,2,6,8,1,385,185000,1998
527162120,2.5,1.0,2,476.0,1,3,2,6,2.0,2,2112.0,0,3,2,6,8,1,84,191000,1998
527162130,2.5,0.0,2,994.0,1,2,2,6,2.0,2,1804.0,0,3,3,6,8,1,200,189000,1999
527162140,3.5,0.0,2,938.0,1,2,2,6,2.0,2,2299.0,0,4,2,6,8,1,218,204000,1999
527162180,2.5,0.0,2,932.0,1,2,2,6,2.0,2,1633.0,0,3,2,6,8,1,39,183000,1998
527163010,2.5,0.0,2,763.0,1,2,2,6,2.0,2,1655.0,0,3,2,6,8,1,241,175900,1993
527163020,2.5,0.0,2,179.0,1,2,2,6,2.0,2,2019.0,0,3,3,6,8,1,253,165600,1993
527163040,2.5,0.0,2,799.0,1,3,2,6,2.0,2,1571.0,0,3,2,6,8,1,40,178000,1993
527163070,2.5,0.0,3,370.0,1,4,2,6,2.0,2,1780.0,0,3,2,6,8,1,295,185000,1993
527163080,2.0,0.0,2,1168.0,1,2,0,6,2.0,2,1187.0,0,3,3,5,8,1,21,160000,1992
527163100,2.5,1.0,2,554.0,1,2,2,6,2.0,2,1877.0,0,3,2,6,8,1,308,188000,1995
527163130,2.5,1.0,2,107.0,1,2,2,6,2.0,2,2116.0,0,3,3,6,8,1,46,181316,1994
527164020,2.0,0.0,2,1181.0,1,2,2,6,2.0,2,1190.0,0,4,3,5,8,1,21,166000,1993
527164060,2.5,0.0,2,808.0,1,2,2,6,2.0,2,1593.0,0,3,2,6,8,1,382,178000,1992
527164090,2.5,0.0,2,702.0,1,2,2,6,2.0,2,1481.0,0,3,2,6,8,1,36,174000,1994
527164120,2.5,0.0,2,712.0,1,3,2,6,2.0,2,1895.0,0,4,3,6,8,1,189,194500,1994
527165010,2.5,1.0,2,332.0,1,2,0,6,2.0,2,2213.0,0,3,3,6,8,1,40,185000,1991
527165020,2.5,0.0,2,384.0,1,3,2,6,2.0,2,1472.0,0,3,3,3,8,1,164,160000,1991
527165100,2.5,0.0,2,384.0,1,2,2,6,2.0,2,1482.0,0,3,3,3,8,1,125,163900,1992
527165130,2.0,1.0,2,598.0,1,2,0,6,2.0,2,1727.0,0,3,3,5,8,1,146,173000,1992
527165170,2.5,0.0,2,903.0,1,2,2,6,2.0,2,1642.0,0,3,2,6,8,1,374,168000,1993
527165230,2.0,1.0,2,233.0,1,2,0,6,2.0,2,2122.0,0,4,2,5,8,1,504,185000,1992
527166010,2.5,0.0,2,284.0,1,3,2,6,2.0,2,2677.0,0,4,3,6,8,1,0,225000,1999
527166030,2.5,0.0,2,935.0,1,2,2,6,2.0,2,1632.0,0,3,2,6,8,1,28,176500,1998
527166040,2.5,0.0,2,789.0,1,2,3,6,2.0,2,1465.0,0,3,2,6,8,1,75,180400,1998
527175130,1.0,1.0,2,752.0,1,2,2,5,2.0,2,1678.0,0,1,2,5,8,1,354,154204,1964
527180040,1.5,1.0,2,663.0,1,2,1,6,2.0,2,1978.0,0,3,3,5,8,1,192,171500,1990
527180100,2.0,0.0,2,1424.0,1,2,0,6,2.0,2,1442.0,0,4,2,5,8,1,542,180500,1990
527182020,2.0,0.0,2,1191.0,1,2,0,5,2.0,2,1204.0,0,2,2,4,25,1,190,130000,1987
527182040,1.5,0.0,2,1074.0,1,3,0,5,2.0,2,1088.0,0,4,3,4,25,1,211,170000,1986
527182170,2.0,1.0,2,180.0,1,3,2,5,2.0,2,3100.0,0,3,3,2,25,1,219,207500,1984
527182190,1.5,1.0,2,0.0,1,3,0,6,2.0,2,2990.0,0,2,3,4,25,1,194,212000,1985
527183030,2.0,1.0,2,461.0,1,3,3,6,2.0,2,1995.0,0,3,3,4,25,1,288,189000,1988
527183060,2.0,1.0,2,1018.0,1,3,2,6,2.0,2,1656.0,0,3,3,4,25,1,227,188500,1989
527184020,2.0,1.0,2,918.0,1,3,0,5,2.0,2,1427.0,0,3,2,4,25,1,243,182000,1988
527184110,1.0,1.0,2,386.0,1,3,2,6,2.0,2,2247.0,0,3,3,4,25,1,204,212000,1990
527190050,2.0,1.0,3,354.0,1,3,2,6,2.0,3,2477.0,0,3,3,2,25,1,476,239000,1987
527190220,2.0,1.0,2,594.0,1,3,2,6,2.0,2,2890.0,0,2,3,4,25,1,376,275000,1985
527208010,3.5,0.0,2,1152.0,1,3,3,6,3.0,2,2516.0,0,4,4,6,25,1,224,355000,2005
527210050,2.5,0.0,3,889.0,1,3,3,6,3.0,2,2678.0,0,4,3,6,25,1,285,356383,2006
527210060,2.0,1.0,2,673.0,1,3,3,6,3.0,2,3171.0,0,4,3,5,25,1,229,377426,2005
527212040,2.5,0.0,3,1234.0,1,4,3,6,3.0,2,2576.0,0,4,4,6,25,1,424,361919,2006
527212050,2.5,0.0,3,1122.0,1,3,3,6,3.0,2,2504.0,0,4,4,6,25,1,183,325000,2005
527212060,3.5,1.0,2,163.0,1,3,3,6,3.0,2,3527.0,0,4,4,6,25,1,152,349265,2005
527214030,2.0,1.0,2,547.0,1,4,3,6,3.0,2,3221.0,0,4,4,5,25,1,290,387000,2004
527214060,2.5,1.0,2,644.0,1,4,3,6,3.0,2,3904.0,0,4,4,6,25,1,250,535000,2006
527216070,3.5,1.0,2,234.0,1,4,3,6,3.0,2,4695.0,0,4,4,6,25,1,749,538000,2003
527216080,2.5,1.0,2,1559.0,1,4,3,6,3.0,3,3439.0,0,4,3,5,25,1,457,591587,2006
527225035,2.0,0.0,2,132.0,1,3,0,1,2.0,2,2179.0,0,3,2,5,8,1,337,164000,1988
527226010,2.0,0.0,0,0.0,1,2,2,3,2.0,2,2267.0,0,3,2,6,8,1,264,169000,1948
527226020,1.0,0.0,2,1632.0,1,2,3,5,2.0,2,1474.0,0,2,2,5,8,1,144,115000,1952
527226040,1.5,1.0,2,53.0,1,2,0,5,3.0,2,2471.0,0,2,2,1,8,0,144,155000,1969
527250040,1.0,1.0,2,0.0,0,2,0,5,2.0,2,2112.0,0,2,2,1,8,1,264,145000,1955
527252050,2.0,1.0,2,815.0,1,3,3,6,2.0,2,2409.0,0,4,4,4,25,1,164,319900,2006
527252070,2.0,1.0,2,474.0,1,3,3,6,2.0,2,2364.0,0,4,3,5,25,1,140,392000,2007
527252080,2.0,1.0,2,676.0,1,4,3,6,2.0,2,2744.0,0,4,4,4,25,1,204,334000,2007
527252090,2.0,1.0,2,523.0,1,3,3,6,2.0,2,2905.0,0,4,3,4,25,1,211,318000,2005
527254020,2.5,0.0,2,2046.0,1,3,3,6,3.0,2,2046.0,0,4,3,5,25,1,404,372500,2008
527256030,1.5,1.0,3,662.0,1,3,3,6,2.0,2,3792.0,0,4,3,5,25,1,470,441929,2006
527256040,2.0,1.0,2,590.0,1,4,3,6,3.0,2,3194.0,0,4,4,5,25,1,466,455000,2006
527256120,2.5,1.0,2,494.0,1,4,3,6,3.0,2,3416.0,0,4,4,5,25,1,576,470000,2005
527258010,1.5,1.0,2,411.0,1,3,4,6,3.0,2,3301.0,0,4,4,5,25,1,113,394432,2010
527258020,2.0,1.0,2,256.0,1,3,3,6,2.0,2,2804.0,0,4,3,5,25,1,204,260000,2005
527276040,2.5,0.0,2,1488.0,1,2,2,5,2.0,2,1488.0,0,3,2,5,8,1,180,133000,1950
527276150,1.0,0.0,2,744.0,1,2,0,5,2.0,2,984.0,0,4,2,5,8,1,0,141000,1951
527276160,2.5,1.0,2,722.0,1,2,2,6,2.0,2,2334.0,0,4,2,6,8,1,376,185000,1977
527301010,2.0,1.0,2,995.0,1,3,0,5,2.0,2,1834.0,0,4,3,5,17,1,153,202500,1984
527301080,2.0,0.0,2,762.0,1,3,2,5,2.0,2,2118.0,0,4,3,5,17,1,99,182900,1981
527301170,2.5,0.0,2,791.0,1,2,2,5,2.0,2,2093.0,0,3,2,6,17,1,427,215000,1986
527301245,2.0,1.0,3,692.0,1,3,4,5,2.0,2,2671.0,0,4,4,5,17,1,189,226500,1988
527301320,2.5,1.0,2,153.0,1,3,2,5,2.0,2,3045.0,0,2,4,6,17,1,483,260000,1980
527302020,3.5,0.0,2,585.0,1,2,2,5,2.0,2,1868.0,0,4,2,3,17,1,527,178000,1984
527302050,2.0,0.0,2,606.0,1,2,2,5,2.0,2,2238.0,0,2,3,5,17,1,276,175500,1981
527302060,2.5,0.0,2,404.0,1,3,2,5,2.0,2,1800.0,0,4,3,6,17,1,239,176000,1981
527302070,2.0,1.0,2,513.0,1,3,0,5,2.0,2,2007.0,0,2,2,5,17,1,152,181900,1983
527302080,2.5,0.0,3,0.0,1,3,0,6,3.0,2,3387.0,0,3,3,5,17,1,0,229000,1988
527302090,2.0,1.0,2,201.0,1,2,2,5,2.0,2,2992.0,0,2,3,5,17,1,0,213000,1978
527302110,2.0,1.0,2,589.0,1,2,2,5,2.0,2,3026.0,0,2,2,5,17,1,349,210000,1978
527302175,2.0,0.0,1,1362.0,1,2,2,5,2.0,2,1586.0,0,2,2,5,17,1,192,181000,1979
527302185,2.0,1.0,2,656.0,1,3,1,5,2.0,2,3456.0,0,2,3,5,17,1,200,235000,1978
527302210,2.0,0.5,1,469.0,1,3,2,5,2.0,2,3095.0,0,2,3,5,17,1,467,220000,1979
527325070,2.5,1.0,3,434.0,1,2,2,5,2.0,2,3768.0,0,2,2,6,17,1,832,272000,1977
527325090,2.5,1.0,2,22.0,1,2,2,5,2.0,2,2688.0,0,2,3,6,17,1,264,192000,1979
527325110,2.5,0.0,2,808.0,1,2,3,5,2.0,2,1969.0,0,2,2,6,17,1,276,190000,1977
527325160,2.5,1.0,2,0.0,1,2,2,5,2.0,2,3058.0,0,1,3,6,17,1,250,235000,1977
527325240,2.0,1.0,2,273.0,1,2,1,6,2.0,2,2149.0,0,2,3,5,17,1,174,161000,1976
527326040,2.0,0.0,2,564.0,1,2,2,5,2.0,2,2233.0,0,2,2,5,17,1,192,82500,1977
527326130,2.0,0.5,2,266.0,1,2,0,6,2.0,2,1986.0,0,2,4,5,17,1,180,175000,1977
527326150,2.0,0.5,2,356.0,1,3,2,5,2.0,2,2848.0,0,3,3,5,17,1,240,215000,1977
527327050,2.5,0.0,2,692.0,1,2,2,5,2.0,2,2186.0,0,2,3,6,17,1,224,195000,1976
527327080,2.5,1.0,2,84.0,1,2,2,6,2.0,2,2286.0,0,2,2,6,17,1,417,190000,1976
527328010,1.0,1.0,2,138.0,1,2,2,5,2.0,2,1952.0,0,2,2,3,17,1,162,169000,1980
527328020,2.0,0.5,2,427.0,1,2,2,5,2.0,2,1637.0,0,2,2,3,17,1,0,148000,1978
527328050,2.0,0.0,2,372.0,1,2,0,5,2.0,2,1958.0,0,2,3,5,17,1,307,151500,1984
527352150,2.5,0.0,2,832.0,1,2,2,5,2.0,2,2050.0,0,2,3,6,17,1,384,154000,1978
527353020,2.0,0.0,2,1064.0,1,2,2,6,2.0,2,2034.0,0,2,2,5,17,1,307,200000,1978
527353060,2.5,0.0,2,441.0,1,2,2,5,2.0,2,3275.0,0,2,3,6,17,1,262,249000,1980
527353080,2.5,0.0,2,114.0,1,2,2,5,2.0,2,2150.0,0,2,2,6,17,1,304,197000,1979
527354040,2.0,0.5,2,916.0,1,2,2,5,2.0,2,2801.0,0,3,2,5,17,1,236,241500,1988
527354050,2.0,1.0,2,356.0,1,2,2,5,2.0,2,2256.0,0,4,2,5,17,1,381,192350,1979
527354100,2.0,1.0,2,336.0,1,2,2,5,2.0,2,2508.0,0,2,2,3,17,1,281,187500,1980
527354160,2.5,0.0,2,738.0,1,2,2,5,2.0,2,2044.0,0,2,2,6,17,1,101,185000,1980
527354200,2.0,0.0,2,308.0,1,2,2,6,2.0,2,2539.0,0,3,2,5,17,1,0,184000,1978
527355060,2.5,0.0,2,945.0,1,2,2,5,2.0,2,1857.0,0,2,2,6,17,1,505,188900,1978
527355150,2.5,1.0,2,1420.0,1,3,3,6,2.0,2,3628.0,0,2,3,5,17,1,594,278000,1981
527355280,2.0,1.0,2,0.0,1,2,2,5,2.0,2,3372.0,0,2,2,5,17,1,515,207500,1980
527356020,3.5,1.0,2,133.0,1,2,2,5,2.0,2,4043.0,1,2,3,6,17,1,552,250000,1978
527356050,2.5,0.0,2,0.0,1,2,0,5,2.0,2,2400.0,0,4,2,6,17,1,208,152000,1969
527356060,2.5,1.0,2,163.0,1,2,2,5,2.0,2,2102.0,0,2,2,6,17,1,417,179900,1975
527357020,2.0,0.5,2,1012.0,1,2,2,5,2.0,2,1833.0,0,2,2,5,17,1,249,170000,1971
527357110,1.5,0.0,1,440.0,1,2,0,5,2.0,2,1588.0,0,3,2,6,17,1,0,146900,1969
527357180,2.5,0.5,2,432.0,1,3,3,6,3.0,2,3828.0,0,4,3,6,17,1,224,292500,1978
527358060,2.0,0.0,2,486.0,1,2,2,5,2.0,2,2482.0,0,3,2,5,17,1,404,175000,1971
527358090,1.0,1.0,2,42.0,1,3,1,5,2.0,2,2088.0,0,2,2,3,17,1,484,172000,1976
527358140,2.0,0.0,2,1139.0,1,2,2,5,2.0,2,2549.0,0,4,2,5,17,1,122,190000,1977
527359010,2.0,0.5,2,143.0,1,3,3,5,2.0,2,2302.0,0,3,2,6,17,1,224,175000,1968
527359030,2.0,0.0,2,1444.0,1,2,3,5,2.0,2,1444.0,0,2,2,5,17,1,24,159900,1976
527359050,2.0,0.0,2,1090.0,1,2,2,5,2.0,2,1370.0,0,2,2,5,17,1,0,152000,1976
527359070,2.5,0.0,2,400.0,1,2,3,5,2.0,2,2367.0,0,2,2,6,17,1,69,205000,1976
527359080,2.5,0.0,2,793.0,1,2,2,5,2.0,2,1935.0,0,2,2,6,17,1,365,197900,1976
527359160,2.0,0.5,2,0.0,1,2,1,5,2.0,2,2552.0,0,2,3,3,17,1,443,174000,1976
527359180,2.5,1.0,2,399.0,1,2,2,5,2.0,2,2249.0,0,4,3,6,17,1,544,197500,1976
527364030,2.5,1.0,2,304.0,1,3,4,6,2.0,2,2506.0,0,4,4,6,24,1,35,240900,2003
527366030,2.5,0.0,2,1058.0,1,3,2,6,2.0,2,1874.0,0,4,3,6,24,1,134,220000,2000
527368010,2.5,0.0,2,471.0,1,3,3,6,2.0,2,2312.0,0,4,3,6,24,1,273,235000,2002
527368020,2.5,1.0,2,281.0,1,3,0,6,2.0,2,2207.0,0,4,3,6,24,1,96,216000,2000
527375100,2.0,1.0,2,120.0,1,2,1,5,2.0,2,3122.0,0,2,2,5,17,1,490,213000,1975
527375160,3.0,0.0,1,127.0,1,2,2,5,2.0,2,2423.0,0,2,3,3,17,1,76,184500,1975
527375180,2.0,1.0,2,228.0,1,2,2,5,2.0,2,2004.0,0,4,2,5,17,1,0,167900,1974
527375210,2.0,0.0,2,540.0,1,2,2,5,2.0,2,1829.0,0,1,2,5,17,1,40,158000,1975
527376090,1.5,1.0,2,268.0,1,2,0,5,2.0,2,1862.0,0,4,2,5,17,1,88,153500,1975
527376100,2.0,0.0,2,1064.0,1,2,2,5,2.0,2,1350.0,0,2,2,5,17,1,0,165000,1974
527376110,2.5,0.0,2,638.0,1,2,2,6,2.0,2,1858.0,0,2,2,6,17,1,287,162900,1976
527377030,1.5,1.0,2,0.0,1,2,1,5,2.0,2,2349.0,1,1,3,5,17,1,265,181000,1974
527377110,2.5,1.0,2,0.0,1,2,2,5,2.0,2,2961.0,0,2,2,6,17,1,96,178900,1974
527378010,2.0,0.0,2,348.0,1,2,0,5,2.0,2,1858.0,0,2,2,5,17,1,379,155000,1974
527378020,1.5,0.5,2,92.0,1,2,1,5,2.0,2,2262.0,0,3,3,5,17,1,224,157000,1973
527380240,2.5,1.0,2,213.0,1,3,3,6,3.0,2,3363.0,0,4,3,6,17,1,590,306000,1996
527401130,3.0,0.0,2,896.0,1,2,0,5,2.0,2,1792.0,0,2,2,1,15,1,45,133000,1974
527401160,3.0,0.0,2,896.0,1,2,0,5,0.0,0,1792.0,0,2,2,1,15,1,77,136000,1974
527402060,1.5,1.0,2,14.0,1,2,0,5,2.0,2,2094.0,0,3,2,5,15,1,260,151000,1969
527402090,1.0,0.5,2,23.0,1,2,0,5,1.0,2,1458.0,0,2,2,3,15,1,35,139000,1971
527402130,1.0,0.0,2,684.0,1,2,0,5,1.0,2,1188.0,0,2,2,5,15,1,16,111900,1969
527402150,1.5,1.0,2,664.0,1,2,0,5,2.0,2,1298.0,0,2,2,5,15,1,352,143250,1971
527402200,1.0,1.0,2,426.0,1,2,2,5,2.0,2,1582.0,0,4,2,5,15,1,0,149000,1970
527402220,1.0,1.0,2,174.0,1,2,0,5,2.0,2,1830.0,0,2,2,5,15,1,0,148500,1970
527402240,1.5,1.0,2,99.0,1,2,0,5,2.0,2,2105.0,0,3,3,6,15,1,32,184000,1972
527402250,1.5,1.0,2,344.0,1,2,1,5,2.0,2,1812.0,0,4,2,5,15,1,0,149900,1971
527403020,1.0,1.0,2,281.0,1,2,1,5,1.0,2,1831.0,0,4,2,5,15,1,269,142000,1968
527403040,1.0,1.0,2,115.0,1,2,0,5,2.0,2,1937.0,0,3,3,5,15,1,219,156000,1969
527403120,1.0,0.0,2,244.0,1,2,0,5,0.0,0,1472.0,0,2,2,5,15,1,0,88000,1971
527403310,1.0,1.0,2,359.0,1,2,0,5,2.0,2,1988.0,0,2,2,5,15,1,252,155000,1970
527403360,1.0,1.0,2,132.0,1,2,0,5,2.0,2,1596.0,0,2,2,5,15,1,0,123000,1971
527404020,1.5,0.0,2,1180.0,1,2,0,5,2.0,2,1180.0,0,2,2,5,15,1,45,128000,1970
527404030,1.5,1.0,2,543.0,1,2,0,5,1.0,2,1550.0,0,4,2,5,15,1,0,143000,1971
527404050,1.0,0.0,2,214.0,1,2,0,5,1.0,2,1614.0,0,4,4,5,15,1,120,133000,1970
527404100,1.0,0.0,2,251.0,1,2,0,5,1.0,2,1649.0,0,2,2,5,15,1,0,119500,1971
527404120,1.0,1.0,2,0.0,1,2,0,5,2.0,2,1764.0,0,2,2,5,15,1,240,126000,1970
527404140,1.0,0.0,2,858.0,1,2,0,5,3.0,2,872.0,0,2,2,5,15,1,0,123000,1971
527404150,1.0,0.0,2,536.0,1,2,0,5,1.0,2,1180.0,0,2,2,5,15,1,0,110000,1971
527404180,1.0,0.5,2,224.0,1,2,0,5,2.0,2,1514.0,0,2,2,5,15,1,63,97500,1971
527405130,1.0,1.0,2,138.0,1,2,0,5,2.0,2,1590.0,0,2,2,5,15,1,210,76500,1970
527405160,1.0,0.0,2,250.0,1,2,0,5,2.0,2,1478.0,0,2,3,5,15,1,96,120500,1970
527405180,1.0,0.0,2,673.0,1,2,0,5,2.0,2,1055.0,0,4,2,5,15,1,0,124500,1970
527425025,1.0,0.0,2,600.0,1,2,0,4,1.0,1,1228.0,0,4,2,5,15,1,140,128000,1961
527425035,1.0,0.0,2,264.0,1,2,0,5,2.0,2,1464.0,0,2,2,5,15,1,216,111250,1972
527425060,1.0,0.0,2,160.0,1,2,0,5,2.0,2,1568.0,0,3,2,5,15,1,216,97000,1971
527425090,1.0,0.0,2,432.0,1,2,1,5,0.0,0,1296.0,0,2,2,5,15,1,0,115000,1971
527425110,1.0,0.0,2,624.0,1,2,0,5,2.0,2,1104.0,0,3,2,5,15,1,200,130000,1971
527425140,1.0,0.0,2,248.0,1,2,0,6,2.0,2,1480.0,0,2,2,5,15,1,0,120500,1971
527427090,1.0,1.0,2,0.0,1,2,0,6,1.0,2,1490.0,0,4,2,4,15,1,160,133000,1998
527427160,2.0,0.0,2,1337.0,1,3,2,6,2.0,2,1337.0,0,4,3,4,15,1,204,155000,2001
527427200,2.0,1.0,2,475.0,1,3,2,6,2.0,2,2267.0,0,4,3,4,15,1,68,177000,1997
